"","Title","Best_Match","Similarity"
"1","a discrete spatial choice model of burglary target selection at the house-level","A discrete spatial choice model of burglary target selection at the house-level","1"
"2","a sentimental journey to crime: effects of residential history on crime location choice","A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE","1"
"3","a time for a crime: temporal aspects of repeat offenders’ crime location choices","A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices","1"
"4","adolescent offenders’ current whereabouts predict locations of their future crimes","Evaluation of the Hartford Crime Control Experiment: Some Lessons for Future Evaluations","0.189349112426035"
"5","ambient population and surveillance cameras: the guardianship role in street robbers’ crime location choice","Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice","0.786729857819905"
"6","assessing the influence of prior on subsequent street robbery location choices: a case study in zg city, china","Examining the relevance of 'EVIL DONE' to the current terrorist threat landscape in the United Kingdom","0.240384615384615"
"7","awareness × opportunity: testing interactions between activity nodes and criminal opportunity in predicting crime location choice","Awareness × opportunity: Testing interactions between activity nodes and criminal opportunity in predicting crime location choice","1"
"8","biting once, twice: the influence of prior on subsequent crime location choice","BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE","1"
"9","burglar target selection: a cross-national comparison","Burglar Target Selection: A Cross-national Comparison","1"
"10","burglars blocked by barriers? the impact of physical and social barriers on residential burglars’ target location choices in china","Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China","0.739299610894942"
"11","co‐offending and the choice of target areas in burglary","Go where the money is: modeling street robbers' location choices","0.136752136752137"
"12","co-offenders crime location choice: do co-offending groups commit crimes in their shared awareness space?","Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?","1"
"13","crime feeds on legal activities: daily mobility flows help to explain thieves’ target location choices","Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices","1"
"14","do juvenile, young adult, and adult offenders target different places in the chinese context?","Do juvenile, young adult, and adult offenders target different places in the Chinese context?","1"
"15","do migrant and native robbers target different places?","Do Migrant and Native Robbers Target Different Places?","1"
"16","do street robbery location choices vary over time of day or day of week? a test in chicago","Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago","1"
"17","effects of attractiveness, opportunity and accessibility to burglars on residential burglary rates of urban neighborhoods","Effects of residential history on commercial robbers' crime location choices","0.143589743589744"
"18","effects of residential history on commercial robbers’ crime location choices","Effects of residential history on commercial robbers' crime location choices","0.688741721854305"
"19","family matters: effects of family members’ residential areas on crime location choice","FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS’ RESIDENTIAL AREAS ON CRIME LOCATION CHOICE*","1"
"20","formal evaluation of the impact of barriers and connectors on residential burglars’ macro-level offending location choices","Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices","0.688796680497925"
"21","go where the money is: modeling street robbers’ location choices","Go where the money is: modeling street robbers' location choices","0.72"
"22","how do residential burglars select target areas? a new approach to the analysis of criminal location choice","How Do Residential Burglars Select Target Areas?; A New Approach to the Analysis of Criminal Location Choice","1"
"23","investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","1"
"24","learning where to offend: effects of past on future burglary locations","Learning where to offend: Effects of past on future burglary locations","1"
"25","location choice of snatching offenders in chennai city","Location Choice of Snatching Offenders in Chennai City","1"
"26","location, location, location: effects of neighborhood and house attributes on burglars’ target selection","""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","0.825870646766169"
"27","modeling micro-level crime location choice: application of the discrete choice framework to crime at places","Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places","1"
"28","modelling taste heterogeneity regarding offence location choices","Modelling taste heterogeneity regarding offence location choices","1"
"29","modelling the spatial decision making of terrorists: the discrete choice approach","Modelling the spatial decision making of terrorists: The discrete choice approach","1"
"30","relative difference and burglary location: can ecological characteristics of a burglar’s home neighborhood predict offense location?","Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?","1"
"31","relationships between offenders’ crime locations and different prior activity locations as recorded in police data","Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data","1"
"32","right place, right time? making crime pattern theory time-specific","Learning where to offend: Effects of past on future burglary locations","0.181818181818182"
"33","role of the street network in burglars’ spatial decision-making","ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING*","0.617886178861789"
"34","target choice during extreme events: a discrete spatial choice model of the 2011 london riots","TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS","1"
"35","target selection models with preference variation between offenders","Target Selection Models with Preference Variation Between Offenders","1"
"36","the importance of importance sampling: exploring methods of sampling from alternatives in discrete choice models of crime location choice","The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice","1"
"37","the influence of activity space and visiting frequency on crime location choice: findings from an online self-report survey","THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY","1"
"38","the usefulness of past crime data as an attractiveness index for residential burglars","The usefulness of past crime data as an attractiveness index for residential burglars","1"
"39","traveling alone or together? neighborhood context on individual and group juvenile and adult burglary decisions","Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions","1"
"40","where do dealers solicit customers and sell them drugs? a micro-level multiple method study","WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO","0.189349112426035"
"41","where offenders choose to attack: a discrete choice model of robberies in chicago","WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO","1"
