"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Towards A Standardised Approach in Cross-national Spatial Crime Research: A Case Study Analysis","","Groeneveld, Gretha","PQDT - Global","Dissertations & Theses","","","","2022-01-01","2022","","","","","","9798380807692","ENG","The lack of a standardised approach in cross-national spatial crime research limits the creation of consistent, reliable and valid knowledge regarding the spatial dimension of crime and crime causation across contexts. This begs the question: what is the most appropriate or ‘correct’ methodological approach to follow in order to measure crime and its causation in any context? This question is initially answered by undertaking a spatial analysis of crime in Khayelitsha, South Africa. Khayeltisha (the primary study site) is home to one of the most deprived, marginalised, crime-ridden and socially disorganised communities, not only in South Africa but in the world. A largely ineffective police force together with unchecked and informal policing structures, unreliable and uncertain political support have contributed to unmanageable crime. Subsequently, there is a desperate need to generate valid empirical knowledge and an understanding of crime patterns as they relate to the social and economic environment.This study uses social disorganisation as a guiding framework to gain a more thorough theoretical understanding of crime and the ecological characteristics that can affect it within the context of Khayelitsha. The central tenets of the theory, that describe the level of social disorganisation of a place, include socio-economic deprivation, family disruption, residential mobility, racial heterogeneity and urbanisation. These characteristics are however notoriously difficult to quantify and the choice of variables used to represent the central tenets of the theory are often inconsistently interpreted. In the first part of the study, I demonstrate how the numerous ways in which these characteristics can be operationalised continuously yield conflicting results, which raises questions regarding its applicability in a developing context. In the analysis, three separate sets of variables, consistent with social disorganisation theory, are tested using regression modelling, to illustrate these inconsistencies. Results are shown to vary in significance and predicted associations across almost all the individual variables representing the same structural neighbourhood characteristics.This raises the question of appropriate definitions and descriptions of variables together with the suitability of various combinations of variables used as proxies for concepts synonymous with social disorganisation theory. The findings also refutes any assumption that different sets of variables applied as proxies for the same tenets of social disorganisation would perform similarly and bring into question results from the plethora of prior local and international research that have used the social disorganisation theory as a framework to guide the selection of variables in spatial crime analysis.As a solution, in the second part of the study, I propose the use of standardised variables in spatial crime research using variables informed by the International Organization for Standardization (ISO) indicators. These variables are used to measure social disorganisation in Khayelitsha (in South Africa) and Fort Lauderdale (the secondary and comparative study site in the United States), allowing for a crossnational comparison of the causes of crime in these two contexts. The ISO 37120 indicators, in particular, provide guidelines to create clearly defined, standardised measurements, and consequently consistent indicators comparable over time or space. This is currently lacking in cross-national comparative crime studies applying social disorganisation theory. The indicators promote cross-national information sharing, transparency and open data. Furthermore, this approach offers the benefit of contributing towards the creation of a reliable foundation of globally standardised data, which can assist in building core knowledge, and can be used for comparative knowledge sharing in spatial research of crime.","https://www.proquest.com/docview/2890698729?accountid=11077&bdid=92773&_bd=xP3lNtjUMrLcb4Nec%2FM6fWlcqAM%3D",""
"Offender Searches and Crime Events","","Gialopsos, Brooke Miller; Carter, J W, II","Journal of Contemporary Criminal Justice","Scholarly Journals","","31","1","2015-02-01","Feb 2015","53","","","10439862","","","ENG","This article explores how several prominent theories explain how and where crime events occur. In particular, rational choice, lifestyle-routine activities, crime pattern, and multilevel opportunity theories are applied to offender searches for targets. Examples from qualitative and quantitative works are used to illustrate these theoretical concepts as applied to offenders' target selection and journey to crime. While both of these types of studies help to shed light on these topics, the ethnographic works have been particularly instrumental in understanding offenders' searches for targets. Finally, new directions or suggestions for future research are discussed, mainly the application to school shootings (or other mass murders) and online crimes.","https://www.proquest.com/docview/1647823042?accountid=11077&bdid=92773&_bd=P%2F%2FJxExBTKup3%2Bd1rF9YsuoY5OM%3D",""
"Decision Making in the Crime Commission Process: Comparing Rapists, Child Molesters, and Victim-Crossover Sex Offenders","","Beauregard, Eric; Leclerc, Benoit; Lussier, Patrick","Criminal Justice and Behavior","Scholarly Journals","","39","10","2012-10-01","Oct 2012","1275","","","00938548","","","ENG","Based on a rational choice approach, this study compares the decision making involved in the crime commission process of rapists (n = 30), child molesters (n = 17), and victim-crossover sex offenders (n = 22). Using a mixed-methods framework and following Clarke and Cornish's decision-making model, the authors organized offenders' narratives collected during semistructured interviews into three major areas: (a) offense planning (i.e., premeditation of the crime, estimation of risk of apprehension by the offender, and forensic awareness of the offender); (b) offense strategies (i.e., use of a weapon, use of restraints, use of a vehicle, and level of force used; and (c) aftermath (i.e., event leading to the end of crime and victim release site location choice). Results emphasize the important role of situational factors and age of the victim on the decision-making process of serial sex offenders. Moreover, results show that because of particular choice-structuring properties, the decision making varies across different groups of serial sex offenders. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/1069232171?accountid=11077&bdid=92773&_bd=cnejW95eByydQd3oQ%2FyGBFYG6o4%3D","https://doi.org/10.1177/0093854812453120"
"Criminal Mobility and Motiveless Homicide: An Investigative Approach","","Chopin, Julien; Beauregard, Eric; Real, Kylie","Journal of Police and Criminal Psychology","Scholarly Journals","","36","4","2021-12-01","Dec 2021","716","728","716-728","08820783","","","ENG","Motiveless homicides are usually defined as homicides in which a victim is killed by an offender and a motive was not determined by the police investigation. Motiveless does not mean that the police do not know the motive for the homicide, but rather that no other motive could accurately and objectively explain the reason for why the homicide occurred. However, this is especially problematic for the police because failing to establish a homicide motive is considered an investigative shortcoming. Due to the limited research conducted to date on motiveless homicides and the significant challenges they pose to investigators, the current study examines the geographic mobility patterns involved in these homicides. Using a sample of 194 solved cases of motiveless homicide from France, the criminal mobility triangle approach was used to explore their geographic patterns. Moreover, correlates of the entire criminal event were included for an in-depth understanding of these cases. The findings revealed various mobility patterns involved in motiveless homicides, combined with some specific correlates of the criminal event. Implications of the findings are discussed in light of the investigation of these crimes.","https://www.proquest.com/docview/2918767181?accountid=11077&bdid=92773&_bd=qnCiJTFgzGNL5JdYQFwXhkSN98M%3D","https://doi.org/10.1007/s11896-021-09458-7"
"WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO","","Bernasco, Wim; Block, Richard","Criminology","Scholarly Journals","","47","1","2009-02-01","Feb 2009","93","","","00111384","","","ENG","Why do robbers choose a particular area to commit an offense? Do they rob close to home? Do they search for areas with suitable and attractive targets? What keeps them away from certain areas? To answer these questions, a model is developed of how robbers choose target areas. The model draws on various theoretical and empirical traditions, which include environmental criminology, journey to crime research, gang research, and social disorganization theory. Testing the model on cleared robbery cases in Chicago in the years 1996-1998, we demonstrate that robbery location choice is related to characteristics of target areas, to areas where offenders live, to joint characteristics of the resident and target areas, and to characteristics of the offenders themselves. The presence of illegal markets and other crime generators and crime attractors make areas attractive for robbers, whereas collective efficacy seems to keep them out. Distance as well as racial and ethnic segregation restrict the mobility of offenders. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/220715439?accountid=11077&bdid=92773&_bd=PA8pQHbdxU588kZe4Z4U2bQZgRg%3D","https://doi.org/10.1111/j.1745-9125.2009.00140.x"
"Right place, right time? Making crime pattern theory time-specific","","van Sleeuwen Sabine E M; Ruiter Stijn; Steenbeek Wouter","Crime Science","Scholarly Journals","","10","1","2021-01-01","Jan 2021","","","","21937680","","","ENG","ObjectivesCrime pattern theory and the related empirical research have remained rather a-temporal, as if the timing of routine activities and crime plays no role. Building on previous geography of crime research, we extend crime pattern theory and propose that an offender’s spatial knowledge acquired during daily routine activities is not equally applicable to all times of day.MethodsWe put this extended theory to a first empirical test by applying a discrete spatial choice model to detailed information from the Netherlands on 71 offences committed by 30 offenders collected through a unique online survey instrument. The offenders reported on their most important activity nodes and offence locations over the past year, as well as the specific times they regularly visited these locations.ResultsThe results show that almost 40% of the offences are committed within the neighbourhoods of offenders’ activity nodes, increasing to 85% when including first-, second- and third-order neighbourhoods. Though not statistically significant in our small sample, the results further suggest that offenders are more likely to commit crime in neighbourhoods they have regularly visited at the same time of day than in neighbourhoods they have regularly visited at different times of day.ConclusionOur extension of crime pattern theory is only tentatively supported. We argue for replication research with larger samples before any firm conclusions are warranted.","https://www.proquest.com/docview/2483429804?accountid=11077&bdid=92773&_bd=yYnhEC4J7Vm60nYNHgnuhP5USWU%3D","https://doi.org/10.1186/s40163-021-00139-8"
"Understanding Men's Perceptions of Risks and Rewards in a Date Rape Scenario","","Bouffard, Leana A; Bouffard, Jeffrey A","International Journal of Offender Therapy and Comparative Criminology","Scholarly Journals","","55","4","2011-06-01","Jun 2011","626","","626-645","0306624X","","","ENG","Existing research on date rape has identified important correlations between rape-supportive attitudes and sexual aggression. What remains unclear is the mechanism by which these attitudes are translated into sexually aggressive behavior. This study borrows from a rational choice framework to explore the relationship between attitudes, perceptions of the risks and rewards of engaging in date rape, and self-reported hypothetical aggression in a date rape scenario. Results suggest that rape-supportive attitudes are related to particular patterns of identified risks and rewards of date rape as well as to the self-reported likelihood of engaging in date rape behavior. This supports a perspective that certain attitude structures may alter the risks and rewards that potential offenders consider in deciding whether or not to engage in sexual aggression. Implications for future research and prevention programs are discussed.","https://www.proquest.com/docview/1928253525?accountid=11077&bdid=92773&_bd=ivdRnis8Ht18HLLJV8YzgtFDzy0%3D","https://doi.org/10.1177/0306624X10365083"
"Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions","","Chamberlain, Alyssa W; Boggess, Lyndsay N; Fisher, Taylor","Crime and Delinquency","Scholarly Journals","","69","11","2023-10-01","Oct 2023","2075","2101","2075-2101","00111287","","","ENG","Neighborhood characteristics are important considerations when offenders make targeting decisions. Movement patterns among adults and juveniles vary widely, which impacts both the number of crime opportunities and the range of neighborhoods to which an offender is exposed. We test whether offending patterns among adult and juvenile burglars vary based on distances traveled, the types of neighborhoods targeted, and whether suspects acted alone or in a group. Using discrete choice modeling, we draw upon a unique sample of cleared burglaries in a representative city in the south over a 13-year period. Results show that adult burglars consistently travel further and are more sensitive to neighborhood conditions than their juvenile counterparts, but that group participation makes little difference in target decisions.","https://www.proquest.com/docview/2858603565?accountid=11077&bdid=92773&_bd=npPKqWxrA5LngmF5r2SR29Y%2BRG0%3D","https://doi.org/10.1177/00111287211067177"
"Vermogenscriminaliteit en mobiel banditisme: introductie","","Spapens, Toine; Siegel, Dina; Vander Beken, Tom","Tijdschrift voor Criminologie","Scholarly Journals","","66","2","2024-10-01","Oct 2024","","","","0165182X","","","DUT","Property crimes and mobile banditry: an introductionThis editorial focuses on traditional types of property crime in the Netherlands and Belgium, such as burglary and theft, and property crimes involving mobile organised crime groups (MOCGs) originating from Eastern and South-Eastern Europe and the Balkan countries. Over the past four decades, a relatively limited number of studies addressed specific types of traditional property crime, but in both countries a body of literature focusing on target selection by residential burglars has been established. Overall, a wide range of perpetrators can be identified, for example individual opportunists; itinerant groups which mostly originate from urban networks who commit property crimes in their areas of residence, but also in other parts of the country and abroad; and foreign mobile organised crime groups. Similar to observations in other countries, traditional property crime also dropped substantially in the Low Countries, although since 2022 figures regarding for instance car theft, theft of vehicle parts, e-bikes, and pickpocketing have started to increase. A solid explanation for both the crime drop and the recent rise in crime levels cannot be provided, although the latter is associated with increased activity of MOCGs, which may now be responsible for a quarter to one-third of traditional property crime. Highly professional MOCGs from Eastern Europe, and Lithuania in particular, focus on burglary, theft of expensive cars and e-bikes, agricultural produce and equipment, and theft of car parts, such as navigation, steering, and airbags. MOCGs originating from South-Eastern Europe and the Balkan countries are often composed of men, women and children and focus for instance on shoplifting, pickpocketing, residential burglary, metal theft and (forced) begging. In both cases, some members, particularly minors but also adults, can be considered victims of criminal exploitation.","https://www.proquest.com/docview/3121138738?accountid=11077&bdid=92773&_bd=H6s1NIxXM0%2BfLbBkOMGZJF5EjBw%3D",""
"Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study","","Bernasco, Wim; Jacques, Scott","Journal of Contemporary Criminal Justice","Scholarly Journals","","31","4","2015-11-01","Nov 2015","376","","","10439862","","","ENG","According to a rational choice theory of crime location choice, offenders commit crimes at locations where the mix of expected rewards and costs is optimal. The present study applied this general theory to a very specific crime -- illicit drug dealing in an open air drug market -- and tested it in the Red Light District and its neighboring area in downtown Amsterdam, the Netherlands. Data were collected in interviews with 50 dealers of illicit drugs and through systematic observations of the 262 street segments in the study area. It was expected that dealers prefer locations where expected earnings relative to invested time and effort is high and where the risk of apprehension is low. The quantitative findings seem to confirm that dealers go to places where the likelihood of successfully soliciting customers is high, but no evidence is found that they avoid places with informal or formal social control. Qualitative data collected in the same interviews reveal that dealers view social control as a nuisance and risk that can be evaded. We conclude by discussing the implications of our findings for criminological theory and research methods. [web URL: http://ccj.sagepub.com/content/31/4/376.abstract]","https://www.proquest.com/docview/1728408403?accountid=11077&bdid=92773&_bd=YGS7lmAqy5XTVUeXwb1i3xjEH24%3D",""
