"","select_reject_by (Wim/Christophe)","select_reject_by (Kural)","notes","title","abstract","year","authors","source_title","volume","issue","pages","doi","source","notes (Wim/Christophe)","notes kural"
"1"," "," "," ","target selection models with preference variation between offenders","this study explores preference variation in location choice strategies of residential burglars. applying a model of offender target selection that is grounded in assertions of the routine activity approach, rational choice perspective, crime pattern and social disorganization theories, it seeks to address the as yet untested assumption that crime location choice preferences are the same for all offenders. analyzing detected residential burglaries from brisbane, australia, we apply a random effects variant of the discrete spatial choice model to estimate preference variation between offenders across six location choice characteristics. furthermore, in attempting to understand the causes of this variation we estimate how offenders' spatial target preferences might be affected by where they live and by their age. findings of this analysis demonstrate that while in the aggregate the characteristics of location choice are consistent with the findings from previous studies, considerable preference variation is found between offenders. this research highlights that current understanding of choice outcomes is relatively poor and that existing applications of the discrete spatial choice approach may underestimate preference variation between offenders.","2016","townsley, m; birks, d; ruiter, s; bernasco, w; white, g","journal of quantitative criminology","32","2","283-304","10.1007/s10940-015-9264-7","WOS"," "," "
"2"," "," "," ","a discrete spatial choice model of burglary target selection at the house level","this article studies how burglars select a house to burglarize. we draw on the rational choice perspective to investigate how burglars select a target by relying on house-related attributes to optimize a combination of perceived rewards, efforts and risk. it extends current applications of the discrete spatial choice framework to burglary target selection by adopting the house as the spatial unit of analysis and studies burglars' target selection process in a larger and more diverse study area than that of earlier studies. using data on 650 residential burglaries and on approximately 500,000 residential properties in the belgian province east flanders, we consider a discrete spatial choice model of burglary target selection to establish which house-related attributes influence burglars' target selection process. our findings demonstrate that terraced houses, houses without a garage, houses that have not been outfitted with a central heating and/or air-conditioning system and houses nearby burglars' residences are more likely to be selected. overall, our analysis suggests that burglars rely on effort-related attributes to distinguish between targets while higher perceived rewards actually decrease the odds of a house being burglarized. risk-related attributes are unimportant for burglars' target choice. (c) 2015 elsevier ltd. all rights reserved.","2015","vandeviver, c; neutens, t; van daele, s; geurts, d; vander beken, t","applied geography","64",NA,"24-34","10.1016/j.apgeog.2015.08.004","WOS"," "," "
"3"," "," "," ","the geography of crime and crime control",NA,"2017","vandeviver, c; bernasco, w","applied geography","86",NA,"220-225","10.1016/j.apgeog.2017.08.012","WOS"," "," "
"4"," "," "," ","co offenders crime location choice do co offending groups commit crimes in their shared awareness space","this study examines the influence of co-offending on crime location choice: the extent to which awareness spaces of co-offenders overlap and whether co-offended crimes are more likely committed in this overlap in awareness space. in total, 4,654 offenders from the greater the hague region in the netherlands were studied. they committed 6,283 crimes; of which, 3,612 were co-offended. the data were analysed using a discrete spatial choice model. results show that most co-offending groups share 50 per cent or less of their awareness space. offender groups are significantly more likely to commit crimes in areas known to multiple offenders in the group (the shared awareness space of the group) than in areas known to one offender or none of the offenders.","2018","lammers, m","british journal of criminology","58","5","1193-1211","10.1093/bjc/azx069","WOS"," "," "
"5"," "," "," ","modeling micro level crime location choice application of the discrete choice framework to crime at places","discrete choice recently emerged as a new framework for analyzing criminal location decisions, but has thus far only been used to study the choice amongst large areas like census tracts. because offenders also make target selection decisions at much lower levels of spatial aggregation, the present study analyzes the location choices of offenders at detailed spatial resolutions: the average unit of analysis is an area of only 18 residential units and 40 residents. this article reviews the discrete choice and spatial choice literature, justifies the use of geographic units this small, and argues that because small spatial units depend strongly on their environment, models are needed that take into account spatial interdependence. to illustrate these points, burglary location choice data from the netherlands are analyzed with discrete choice models, including the spatial competition model.","2010","bernasco, w","journal of quantitative criminology","26","1","113-138","10.1007/s10940-009-9086-6","WOS"," "," "
"6"," "," "," ","the importance of importance sampling exploring methods of sampling from alternatives in discrete choice models of crime location choice","objectives the burgeoning field of individual level crime location choice research has required increasingly large datasets to model complex relationships between the attributes of potential crime locations and offenders' choices. this study tests methods of sampling aiming to overcome computational challenges involved in the use of such large datasets. methods using police data on 38,120 residential and non-residential burglary, commercial and personal robbery and extra-familial sex offense locations and the offenders' pre-offense activity locations (e.g., home, family members' homes and prior crime locations), and in the context of the conditional logit formulation of the discrete spatial choice model, we tested a novel method for importance sampling of alternatives. the method over-samples potential crime locations near to offenders' activity locations that are more likely to be chosen for crime. we compared variants of this method with simple random sampling. results importance sampling produced results more consistent with those produced without sampling compared with simple random sampling, and provided considerable computational savings. there were strong relationships between the locations of offenders' prior criminal and non-criminal activities and their crime locations. conclusions importance sampling from alternatives is a relatively simple and effective method that enables future studies to use larger datasets (e.g., with more variables, wider study areas, or more granular spatial or spatio-temporal units) to yield greater insights into crime location choice. by examining non-residential burglary and sexual offenses, in new zealand, the substantive results represent a novel contribution to the growing literature on offenders' spatial decision making.","2022","curtis-ham, s; bernasco, w; medvedev, on; polaschek, dll","journal of quantitative criminology","38","4","1003-1031","10.1007/s10940-021-09526-5","WOS"," "," "
"7"," "," "," ","location location location effects of neighborhood and house attributes on burglars target selection","objectives to empirically test whether offenders consider environmental features at multiple spatial scales when selecting a target and examine the simultaneous effect of neighborhood-level and residence-level attributes on residential burglars' choice of residence to burglarize. methods we combine data on 679 burglaries by 577 burglars committed between 2005 and 2014 with data on approximately 138,000 residences in 193 residential neighborhoods in ghent, belgium. using a discrete spatial choice approach, we estimate the combined effect of neighborhood-level and residence-level attributes on burglars' target choice in a conditional logit model. results burglars prefer burglarizing residences in neighborhoods with lower residential density. burglars also favor burglarizing detached residences, residences in single-unit buildings, and renter-occupied residences. furthermore, burglars are more likely to target residences in neighborhoods that they previously and recently targeted for burglary, and residences nearby their home. we find significant cross-level interactions between neighborhood and residence attributes in burglary target selection. conclusions both area-level and target-level attributes are found to affect burglars' target choices. our results offer support for theoretical accounts of burglary target selection that characterize it as being informed both by attributes of individual properties and attributes of the environment as well as combinations thereof. this spatial decision-making model implies that environmental information at multiple and increasingly finer scales of spatial resolution informs crime site selection.","2020","vandeviver, c; bernasco, w","journal of quantitative criminology","36","4","779-821","10.1007/s10940-019-09431-y","WOS"," "," "
"8"," "," "," ","familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices","this paper examines the recently theorized roles of the reliability and relevance of offenders' knowledge of locations in their crime location choices. using discrete choice models, we analyzed offenders' pre-offense activity locations from police data (home addresses, family members' home addresses, work, school, prior offenses, victimizations, non-crime incidents, and other police contacts) and 17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offenses, in new zealand. offenders were most likely to offend where their prior activity locations indicated they had highly reliable and highly relevant knowledge-where they were both highly familiar with the area and had conducted similar activities-and less likely where offenders had less familiarity or less similar activities. the results support a recent extension of crime pattern theory and highlight the importance of including both reliability and relevance factors when modeling or predicting offenders' crime location choices.","2025","curtis-ham, s; bernasco, w; medvedev, on; polaschek, dll","international criminal justice review","35","1","9-28","10.1177/10575677241244464","WOS"," "," "
"9"," "," "," ","investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","as street crime occurs in the street, it is reasonable to assume that the location choice of street crime offenders is affected by streetscape conditions and people on street. however, this issue has not been investigated by previous research, possibly because fine-grained streetscape data are hard to obtain. traditional data-gathering methods like questionnaires, field surveys, and manual audits are inefficient and only applied to small areas. social media and mobile phone data have recently been used to measure the ambient population. however, they are unable to distinguish between indoor and on-street people. to overcome these limitations, the present research applied an integrative deep learning algorithm combining an object detection network and a semantic segmentation network to extract on-street people and physical environment elements from fine-grained street view images (svis) in a large chinese city. the extracted elements include fences, walls, windows, grass, sidewalk, and plants. controlling the influence of residence-crime proximity, crime attractors, generators, detractors, and socioeconomic features, we constructed a discrete spatial choice model to investigate the influence of people on the street and the streetscape's physical environments on the location choice of street theft crime offenders. results reveal an improvement in model performance after the streetscape variables are considered. therefore, the streetscape context is essential for understanding offenders' preferences for crime locations. specifically, the number of people on the street presents a significantly positive relationship with the offenders' preferences. fences and plants have significant and positive effects on attracting criminals. grasses and sidewalks negatively affect offenders' location choices. walls and windows do not significantly affect criminals' crime location choices. additionally, the associations between most control variables and offenders' preferences for crime locations conform to previous research findings. as the first attempt in combining svis, deep learning algorithms, and discrete spatial choice model, this study makes a contribution to the extant crime location choice literature.","2023","yue, h; liu, l; xiao, lz","applied geography","157",NA,NA,"10.1016/j.apgeog.2023.103025","WOS"," "," "
"10"," "," "," ","an economy of choice terrorist decision making and criminological rational choice theories reconsidered","this article first identifies the increasing centrality of practical and theoretical crime prevention approaches in tackling terrorism. central features include the increased use of practical target hardening and rational choice models of trangressive action. utilising cross-disciplinary research from criminology and terrorism studies, the efficacy of such strategies and their translation into counter-terrorism roles is assessed. it argues that such emphasis on opportunity structures and deterrence models is limited in its account of terrorist decision-making. this is because of many factors including the strong interplay between ideology, motivation and operational choice; the role of extraneous mitigating influences; and the need for theoretical approaches to accommodate evolving threats. security journal (2011) 24,85-99. doi:10.1057/sj.2009.11; published online 28 september 2009","2011","fussey, p","security journal","24","1","85-99","10.1057/sj.2009.11","WOS"," "," "
