"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
1," "," "," "," ","the place of environmental criminology within criminological thought",NA,"CHAP","2010","Google Scholar",NA,NA,NA,"21","44",NA,NA
2," "," "," "," ","situating crime pattern theory into the explanation of cooffending considering arealevel convergence spaces",NA,"JOUR","2022","Google Scholar","The British Journal of Criminology","62","3","681","698",NA,"0007-0955"
3," "," "," "," ","spatial decision making of terrorist target selection introducing the track framework",NA,"JOUR","2022","Google Scholar","Studies in Conflict & Terrorism","45","10","862","880",NA,"1057-610X"
4," "," "," "," ","problemoriented policing in violent crime places a randomized controlled experiment",NA,"JOUR","1999","Google Scholar","Criminology","37","3","541","580",NA,"0011-1384"
5," "," "," "," ","situational crime prevention classifying techniques using good enough theory","This article discusses situational crime prevention (SCP), which tries to limit the harm that is caused by crime events. This is usually done by changing the more immediate causes of crimes and looking into the situational components of crime events. The discussion is more concerned with the more theoretical aspects of SCP, and does not present an overview of this area of crime-prevention practice. The first section takes a look at the general features of the rational choice perspective (RCP), the routine activity approach (RAA), and the crime pattern theory (CPT). It then introduces the classification systems of prevention measures that were developed by Richard Wortley and Ron Clarke and his colleagues. It also identifies some of the key theoretical concepts of the three major theories that have influenced SCP. This article ends with a section on whether the supporting theoretical aspects of SCP can be considered as ""good enough"" theory. © 2012 by Oxford University Press. All rights reserved.","JOUR","2012","Google Scholar","The Oxford handbook of crime prevention",NA,NA,"291","315","10.1093/oxfordhb/9780195398823.013.0015",NA
6," "," "," "," ","the unusual case of sexual homicide against males comparisons and classification","This study examines the specificities of sexual homicides involving male victims. First, this study aims to identify characteristics specific to SH involving male victims by comparing them to SH involving female victims and determine whether rational choice approach and routine activities theories are useful to explain the crime-commission process. Second, this study aims to provide the first empirical classification of SH involving male victims. The sample used in this research comes from the Sexual Homicide International Database (SHIelD) including 662 cases of cases—100 cases involving male victims and 552 involving female victims. Bivariate and multivariate analysis are performed to examine the differences between the two groups and latent class analysis is used to generate an empirical classification of cases involving male victims. Findings indicate the victim’s gender plays an important role in the different choices made by sexual homicide offenders of male victims to successfully complete their crime. They adapted their crime-commission process to overcome the risks associated with a physical confrontation with a male victim (i.e., target selection, approach strategy, method of killing). Classification analysis suggests that it exists three different types of sexual murderers assaulting male victims: the robber sexual murderer, the sadistic sexual murderer, and the pedophile murderer. This research proposes the first empirical typology of sexual homicide involving male victims and provides both a true picture of the reality and a comprehensive understanding of this phenomenon. © The Author(s) 2021.","Scholarly Journals","2023","Google Scholar","International journal of offender therapy and comparative criminology","67","5","499","523","https://doi.org/10.1177/0306624X211049194","0306-624X"
7," "," "," "," ","understanding crime and place a methods handbook groff elizabeth and haberman cory editors philadelphia pa temple university press 2023 442 pp 14950hardcover 7495 paperback7495ebookisbn9781439920664hardcoverisbn9781439920671paperbackisbn9781439920688ebook",NA,"GEN","2024","Google Scholar",NA,NA,NA,NA,NA,NA,"1051-1253"
8," "," "," "," ","the study of crime pattern crime prevention and city planning of delhi india through geoinformatics",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
9," "," "," "," ","target selection and crime characteristics a comparison of sexually motivated abduction cases to nonsexual abduction cases and nonabduction sexual cases",NA,"JOUR","2023","Google Scholar","Criminal Justice and Behavior","50","6","891","910",NA,"0093-8548"
10," "," "," "," ","spatialtemporal crime paths",NA,"CHAP","2012","Google Scholar",NA,NA,NA,"16","42",NA,NA
