S_No,Title_of_the_study,Citation,Publication_Year,Crime_Type,Geographic_Region,Name_of_the_unit,Size_of_the_unit,Unit,Size_km2_standardized,Size_group,Size_category,No_of_units,No_of_incidents,Incidents_per_Unit,Unit_Density_per_km2,discrete_choice,spatial_analysis,comparative,temporal,co_offending,Journal,Volume,Issue,DOI,ISSN,Match_Score,Match_Quality,Has_DOI,Has_Complete_Biblio,Matched_Title,Note,Inferred_size
3,Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,"(Clare et al., 2009)",2009,Burglary,Other/Multiple,Residential_suburb,6.7,km2,0.00084491,very small,very small,291.0,1761.0,6.051546391752577,344415.3815199252,False,False,False,False,False,Australian & New Zealand Journal of Criminology,42.0,2.0,https://doi.org/10.1375/acri.42.2.139,0004-8658,1.0,High,True,True,formal evaluation of the impact of barriers and connectors on residential burglars macrolevel offending location choices,rechecked,
4,Burglar Target Selection: A Cross-national Comparison (statistical local areas - AU),"(Townsley et al., 2015)",2015,Burglary,Other/Multiple,Statistical_local_areas,8.48,km2,0.001545,small,small,158.0,889.0,5.6265822784810124,102265.3721682848,False,False,True,False,False,The Journal of Research in Crime and Delinquency,52.0,1.0,https://doi.org/10.1177/0022427814541447,0022-4278,0.7846153846153846,Medium,True,True,burglar target selection a crossnational comparison,rechecked,
10,Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,"(Xiao et al., 2021)",2021,Burglary,China,Community,2.74,km2,0.04,small,small,2643.0,3860.0,1.4604615966704502,66075.0,False,False,False,False,False,"Computers, Environment and Urban Systems",86.0,,10.1016/j.compenvurbsys.2020.101582,0198-9715,1.0,High,True,True,burglars blocked by barriers the impact of physical and social barriers on residential burglars target location choices in china,rechecked,
12,Burglar Target Selection: A Cross-national Comparison (Super Output Areas - UK),"(Townsley et al., 2015)",2015,Burglary,United Kingdom,Super_Output_Areas,2.04,km2,0.15,small,small,131.0,398.0,3.0381679389312977,873.3333333333334,False,False,True,False,False,The Journal of Research in Crime and Delinquency,52.0,1.0,https://doi.org/10.1177/0022427814541447,0022-4278,0.816,Medium,True,True,burglar target selection a crossnational comparison,rechecked,
20,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',"(Vandeviver & Bernasco, 2020)",2020,Burglary,United States,Statistical_districts,0.79,km2,0.65,small,small,193.0,679.0,3.518134715025907,296.9230769230769,False,False,False,False,False,Journal of Quantitative Criminology,36.0,4.0,https://doi.org/10.1007/s10940-019-09431-y,0748-4518,1.0,High,True,True,location location location effects of neighborhood and house attributes on burglars target selection,rechecked,
23,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,"(Bernasco & Nieuwbeerta, 2005)",2005,Burglary,Other/Multiple,Neighborhood,0.65,km2,0.79,small,small,89.0,548.0,6.157303370786517,112.65822784810126,False,False,False,False,False,The British Journal of Criminology,45.0,3.0,10.1093/bjc/azh070,1464-3529,0.9953051643192488,High,True,True,how do residential burglars select target areas a new approach to the analysis of criminal location choice,rechecked,
24,Co-offending and the Choice of Target Areas in Burglary,"(Bernasco, 2006)",2006,Burglary,Other/Multiple,Neighborhood,0.65,km2,0.88,small,small,89.0,1174.0,13.191011235955056,101.13636363636364,False,False,False,False,True,Journal of Investigative Psychology and Offender Profiling,3.0,3.0,,1544-4759,1.0,High,False,False,cooffending and the choice of target areas in burglary,rechecked,
25,Burglar Target Selection: A Cross-national Comparison (NL),"(Townsley et al., 2015)",2015,Burglary,Other/Multiple,Neighborhood,0.65,km2,0.958,small,small,89.0,548.0,6.157303370786517,92.90187891440502,False,False,True,False,False,The Journal of Research in Crime and Delinquency,52.0,1.0,https://doi.org/10.1177/0022427814541447,0022-4278,0.9714285714285714,High,True,True,burglar target selection a crossnational comparison,rechecked,
26,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,"(Bernasco & Luykx, 2003)",2003,Burglary,Other/Multiple,Neighborhood,0.65,km2,1.2,medium,medium,89.0,26000.0,292.13483146067415,74.16666666666667,False,False,False,False,False,Criminology,41.0,3.0,,0011-1384,0.9830508474576272,High,False,False,effects of attractiveness opportunity and accessibility to burglars on residential burglary rates of urban neighborhoods,rechecked,
27,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),"(Bernasco et al., 2015)",2015,Burglary,United States,Lower_Level_Super_Output_Area_(LSOA),0.51,km2,1.36,medium,medium,1687.0,3337.0,1.978067575577949,1240.441176470588,False,False,False,False,False,Applied geography,60.0,,10.1016/j.apgeog.2015.03.014,0143-6228,0.7540983606557377,Medium,True,True,learning where to offend effects of past on future burglary locations,rechecked,
29,The usefulness of past crime data as an attractiveness index for residential burglars,"(Hanayama et al., 2018)",2018,Burglary,United States,Grid_cell,25000.0,m2,1.62,medium,medium,1134.0,369.0,0.3253968253968254,700.0,False,False,False,False,False,Journal of Investigative Psychology and Offender Profiling (Online),15.0,3.0,https://doi.org/10.1002/jip.1507,1544-4759,1.0,High,True,True,the usefulness of past crime data as an attractiveness index for residential burglars,rechecked,
33,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,"(A. W. Chamberlain & Boggess, 2016)",2016,Burglary,Other/Multiple,Blocks,0.88,km2,1.62,medium,medium,334.0,5182.0,15.51497005988024,206.17283950617283,False,False,False,False,False,Journal of Research in Crime and Delinquency,53.0,6.0,,0022-4278,1.0,High,False,False,relative difference and burglary location can ecological characteristics of a burglars home neighborhood predict offense location,rechecked,"The paper does not report the spatial unit size. We estimated the average block group area by dividing Tampa’s total land area (293 km²) by the number of block groups (334), resulting in an average of approximately 0.88 km² per block group."
37,Role of the Street Network in Burglars' Spatial Decision-Making,"(Frith et al., 2017)",2017,Burglary,Other/Multiple,Street_segment,0.0284,km2,2.18,large,large,5286.0,459.0,0.08683314415437003,2424.7706422018346,False,True,False,False,False,Criminology,55.0,2.0,https://doi.org/10.1111/1745-9125.12133,00111384,1.0,High,True,True,role of the street network in burglars spatial decisionmaking,rechecked,"The paper does not report the spatial unit size. and uses street segments as the spatial unit. The average area per street segment was estimated by dividing the total study area (150 km²) by the number of street segments (5,286), resulting in an average of approximately 0.028 km²  per segment."
40,A discrete spatial choice model of burglary target selection at the house-level,"(Vandeviver et al., 2015)",2015,Burglary,United States,Residential_property,136.0,m2,2.74,large,large,503589.0,4308.0,0.008554595116255517,183791.60583941604,True,True,False,False,False,Applied Geography,64.0,,10.1016/j.apgeog.2015.08.004,0143-6228,1.0,High,True,True,a discrete spatial choice model of burglary target selection at the houselevel,rechecked,
41,Residential burglary target selection: An analysis at the property-level using Google Street View,"(Langton & Steenbeek, 2017)",2017,Burglary,United States,Residential_property,142.27,m2,2.81,large,large,300.0,2911.0,9.703333333333333,106.76156583629893,False,False,False,False,False,Applied Geography,86.0,,,0143-6228,1.0,High,False,False,residential burglary target selection an analysis at the propertylevel using google street view,rechecked,
43,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"(A. Chamberlain et al., 2022)",2022,Burglary,Other/Multiple,Block_groups,1.36,km2,2.96,large,large,304.0,4920.0,16.18421052631579,102.70270270270271,False,False,False,False,True,Crime and Delinquency,69.0,11.0,https://doi.org/10.1177/00111287211067177,00111287,1.0,High,True,True,traveling alone or together neighborhood context on individual and group juvenile and adult burglary decisions,rechecked,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. The city of Tampa is divided into 334 block groups. The average area per block group was estimated by dividing the total area of Tampa (455 km²) by the total number of block groups (334), resulting in an average of approximately 1.36 km² per block group. Although the analysis in the study was conducted on 304 block groups due to data availability, the average size was calculated using all 334 block groups to reflect the full spatial division of the city."
49,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,"(Cai et al., 2024)",2024,Burglary,Other/Multiple,Community,0.958,km2,6.7,very large,very large,1652.0,1972.0,1.1937046004842615,246.56716417910448,False,True,False,False,False,,,,,,1.0,High,False,False,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,rechecked,
