Study_ID,Title_of_the_study,Citation,Size_of_the_unit,Unit,Unit_size_km2,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,Publication_Year,Country,Primary_Crime_Type,Study_Area_km2,Statistical_Method,Alternative_Sampling,Number_of_Variables,Sample_Size_Occasions,Scale_Justification_Provided,Demographic_Variables,Economic_Variables,Land_Use_Variables,Infrastructure_Variables,Distance_Variables,Crime_Opportunity_Variables,Social_Variables,Software_Used,Convergence_Issues,Data_Sources,Choice_Set_Strategy,Scale_Justification_Type,PDF_File,Statistical_Method_PDF,Alternative_Sampling_PDF,Number_of_Variables_PDF,Sample_Size_Occasions_PDF,Scale_Justification_Provided_PDF,Software_Used_PDF,Convergence_Issues_PDF,Text_Length
1,A discrete spatial choice model of burglary target selection at the house-level,"(Vandeviver et al., 2015)",136.0,m2,0.000136,very small,Residential_property,503589.0,4308,,2015.0,Unknown,Burglary,68.488104,"Multinomial Logit, Nested Logit",Importance Sampling,,,No,,,,,,,,R,Not Reported,,,,01_a_discrete_spatial_choice_model_of_burglary_target.pdf,"Multinomial Logit, Nested Logit",Importance Sampling,,,No,R,Not Reported,68476.0
2,Residential burglary target selection: An analysis at the property-level using Google Street View,"(Langton & Steenbeek, 2017)",142.27,m2,0.00014227,very small,Residential_property,300.0,2911,,2017.0,Unknown,Burglary,0.042681,Not Clear,Random Sampling,,,No,,,,,,,,"R, SAS",Not Reported,,,,02_residential_burglary_target_selection_property_level.pdf,Not Clear,Random Sampling,,,No,"R, SAS",Not Reported,50912.0
3,Graffiti Writers Choose Locations That Optimize Exposure,"(Kuralarasa et al, 2024)",844.91,m2,0.00084491,very small,Street_segment,2233.0,12655,,2024.0,Unknown,Graffiti,1.88668403,"Multinomial Logit, Nested Logit",None,,,No,,,,,,,,"R, SAS",Not Reported,,,,03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,"Multinomial Logit, Nested Logit",None,,,No,"R, SAS",Not Reported,68729.0
4,Where Do Dealers Solicit Customers and Sell Them Drugs,"(Bernasco & Jacques, 2015)",1545.0,m2,0.001545,small,Street_segment,262.0,50,,2015.0,Unknown,Drug_crimes,0.40479,Multinomial Logit,Not Clear,36.0,,No,,,,,,,,R,Not Reported,,,,04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,Multinomial Logit,Not Clear,36.0,,No,R,Not Reported,101945.0
5,Go where the money is: Modeling street robbers' location choices,"(Bernasco et al., 2013)",19680.0,m2,0.01968,small,Census_block,24594.0,12938,,2013.0,Unknown,Robbery,484.00992,"Multinomial Logit, Mixed Logit, Latent Class, Nested Logit, Other",Importance Sampling,15.0,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,05_go_where_the_money_is_modeling_street_robbers_lo.pdf,"Multinomial Logit, Mixed Logit, Latent Class, Nested Logit, Other",Importance Sampling,15.0,,No,"R, Stata, SAS",Not Reported,79047.0
6,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"(Bernasco et al., 2017)",19680.0,m2,0.01968,small,Census_block,24594.0,12938,,2017.0,USA,Robbery,484.00992,Multinomial Logit,Not Clear,18.0,,No,,,,,,,,"R, SAS",Not Reported,,,,06_do_street_robbery_location_choices_vary_over_time.pdf,Multinomial Logit,Not Clear,18.0,,No,"R, SAS",Not Reported,71210.0
7,The usefulness of past crime data as an attractiveness index for residential burglars,"(Hanayama et al., 2018)",25000.0,m2,0.025,small,Grid_cell,1134.0,369,,2018.0,Unknown,Burglary,28.35,Multinomial Logit,Not Clear,,,No,,,,,,,,"R, SAS",Not Reported,,,,07_the usefulness of past crime data as an attractive.pdf,Multinomial Logit,Not Clear,,,No,"R, SAS",Not Reported,50585.0
8,Role of the Street Network in Burglars' Spatial Decision-Making,"(Frith et al., 2017)",0.0284,km2,0.0284,small,Street_segment,5286.0,459,"The paper does not report the spatial unit size. and uses street segments as the spatial unit. The average area per street segment was estimated by dividing the total study area (150 km²) by the number of street segments (5,286), resulting in an average of approximately 0.028 km²  per segment.",2017.0,Unknown,Burglary,150.1224,"Multinomial Logit, Mixed Logit",Not Clear,,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,08_role_of_the_street_network_in_burglars_spatial_de.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,"R, Stata, SAS",Not Reported,104705.0
9,discrete choice analysis of spatial attack sites,"(Smith & Brown, 2007)",0.032,km2,0.032,small,Grid_cell,4895.0,425,"he paper does not report the spatial unit size directly but uses a regular grid of spatial cells as the choice set for modeling. For the City of Richmond, Virginia, the study area was divided into a grid of 100 rows by 100 columns, and after removing cells outside the city limits, 4,895 grid cells remained. The north–south spacing between centroids was 170 meters and the east–west spacing was 191 meters, resulting in grid cells of approximately 0.032 km² (170 m × 191 m ≈ 32,470 m²) each. This approach provides a fine-grained spatial resolution for the analysis of attack site selection.",2007.0,Unknown,Terrorism,156.64,Multinomial Logit,None,,,No,,,,,,,,"R, SAS",Not Reported,,,,09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,Multinomial Logit,None,,,No,"R, SAS",Not Reported,38520.0
10,Adolescent offenders' current whereabouts predict locations of their future crime,"(Bernasco, 2019)",40000.0,m2,0.04,small,Grid_cell,4.558,165,,2019.0,Unknown,General_crime,0.18232,Multinomial Logit,Not Clear,17.0,,No,,,,,,,,"R, Stata, SAS",Not Reported,,,,10_adolescent_offenders_current_whereabouts_predict.pdf,Multinomial Logit,Not Clear,17.0,,No,"R, Stata, SAS",Not Reported,50295.0
