Study_ID,Title_of_the_study,Citation,Size_of_the_unit,Unit,Unit_size_km2,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,DOI,ISSN,Journal,Volume,Issue,Elicit_Country,Elicit_City_Region,Elicit_Study_Area_Description,Elicit_Crime_Type,Elicit_Study_Period,Elicit_Data_Sources,Elicit_Study_Design,Elicit_Statistical_Method,Elicit_Model_Type,Elicit_Software_Used,Elicit_Sampling_Approach,Elicit_Sample_Size_Elicit,Elicit_Choice_Set_Definition,Elicit_Estimation_Method,Elicit_Total_Variables,Elicit_Demographic_Vars,Elicit_Economic_Vars,Elicit_LandUse_Vars,Elicit_Infrastructure_Vars,Elicit_Distance_Vars,Elicit_Crime_Opportunity_Vars,Elicit_Social_Vars,Elicit_Environmental_Vars,Elicit_Temporal_Vars,Elicit_Main_Results,Elicit_Significant_Predictors,Elicit_Model_Performance,Elicit_Scale_Effects,Elicit_Variable_Info_Quality,Elicit_Missing_Information,Elicit_Extraction_Confidence,Elicit_Match_Score,Elicit_Matched_Title,Elicit_Title_Elicit,Elicit_Year_Elicit,Elicit_Authors_Elicit,Elicit_Journal_Elicit,Elicit_DOI_Elicit,Elicit_Study_Area_Size,Elicit_Crime_Types_All,Elicit_SUoA_Type,Elicit_SUoA_Size_Elicit,Elicit_SUoA_Description,Elicit_Number_of_Units_Elicit,Elicit_Population_per_Unit,Elicit_SUoA_Justification,Elicit_Authors_Original,Elicit_Year_Original,Elicit_Citation_Count,Elicit_Venue
1,A discrete spatial choice model of burglary target selection at the house-level,"(Vandeviver et al., 2015)",136.0,m2,0.000136,very small,Residential_property,503589,4308,,10.1016/j.apgeog.2015.08.004,0143-6228,Applied Geography,64.0,,Netherlands,The Hague,Residential areas in The Hague,Residential burglary,2009,The Hague Police Force; Google Street View ## SPATIAL UNIT OF ANALYSIS (SUoA),Case-control design,Conditional logistic regression,Conditional logistic regression,R,Case-control sampling,300,Not applicable,Conditional maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14.0,0.0,3.0,7.0,3.0,4.0,3.0,1.0,0.0,2.0,"Surveillability, accessibility, and ease of escape are positively related to burglary risk; no significant relationship with wealth.","Surveillability, accessibility, ease of escape",Conditional logistic regression model with significant improvement over baseline model (LR chi2(8) = 57.71; Prob > chi2 < 0.001),Not mentioned ## DATA QUALITY NOTES,Complete,None noted,High,0.75,Residential burglary target selection: An analysis at the property-level using Google Street View,Residential burglary target selection: An analysis at the property-level using Google Street View,2017,"Samuel H Langton, Wouter Steenbeek",Applied Geography,10.1016/j.apgeog.2017.06.014,Not specified,,Individual residential properties,Not specified,Single-family homes in The Hague,300,Not specified,To isolate property-level effects ## METHODOLOGY,"Samuel H Langton, Wouter Steenbeek",2017,40,
2,Residential burglary target selection: An analysis at the property-level using Google Street View,"(Langton & Steenbeek, 2017)",142.27,m2,0.00014227,very small,Residential_property,300,2911,,,0143-6228,Applied Geography,86.0,,Netherlands,The Hague,Residential areas in The Hague,Residential burglary,2009,The Hague Police Force; Google Street View ## SPATIAL UNIT OF ANALYSIS (SUoA),Case-control design,Conditional logistic regression,Conditional logistic regression,R,Case-control sampling,300,Not applicable,Conditional maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14.0,0.0,3.0,7.0,3.0,4.0,3.0,1.0,0.0,2.0,"Surveillability, accessibility, and ease of escape are positively related to burglary risk; no significant relationship with wealth.","Surveillability, accessibility, ease of escape",Conditional logistic regression model with significant improvement over baseline model (LR chi2(8) = 57.71; Prob > chi2 < 0.001),Not mentioned ## DATA QUALITY NOTES,Complete,None noted,High,1.0,Residential burglary target selection: An analysis at the property-level using Google Street View,Residential burglary target selection: An analysis at the property-level using Google Street View,2017,"Samuel H Langton, Wouter Steenbeek",Applied Geography,10.1016/j.apgeog.2017.06.014,Not specified,,Individual residential properties,Not specified,Single-family homes in The Hague,300,Not specified,To isolate property-level effects ## METHODOLOGY,"Samuel H Langton, Wouter Steenbeek",2017,40,
3,Graffiti Writers Choose Locations That Optimize Exposure,"(Kuralarasa et al, 2024)",844.91,m2,0.00084491,very small,Street_segment,2233,12655,,10.1177/00111287241287133,,,,,Belgium,Ghent,Ghent city center,Graffiti writing,November 2017,Systematic Social Observation (SSO) ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Conditional logit model,Discrete choice model,Not mentioned,Systematic Social Observation (SSO),"12,655 graffiti instances",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **LAND USE VARIABLES:** 1. Bars | Presence of bars | Binary | SSO 2. Night shops | Presence of night shops | Binary | SSO 3. Residential units | Number of residential units | Count | SSO 4. Schools | Presence of schools | Binary | SSO - **INFRASTRUCTURE VARIABLES:** 1. Street network centrality | Betweenness centrality | Continuous | SSO - **ENVIRONMENTAL VARIABLES:** 1. Trees along the street | Number of trees | Count | SSO ## VARIABLE SUMMARY COUNTS,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,Graffiti writers prefer locations with high exposure and accessibility.,"Street network centrality, presence of bars, night shops, residential units, and schools.",Not mentioned ## DATA QUALITY NOTES,,Complete,"Study area size, population per unit, justification for SUoA choice, software used, estimation method details.",High,1.0,Graffiti Writers Choose Locations That Optimize Exposure,Graffiti Writers Choose Locations That Optimize Exposure,2024,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",Not mentioned,Not mentioned,Not mentioned,,Street segments,Not mentioned,Street segments in Ghent city center,"2,233",Not mentioned,Not mentioned ## METHODOLOGY,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",2024,1,Crime &amp; Delinquency
4,Where Do Dealers Solicit Customers and Sell Them Drugs,"(Bernasco & Jacques, 2015)",1545.0,m2,0.001545,small,Street_segment,262,50,,10.1177/1043986215608535,1043-9862,Journal of Contemporary criminal justice,31.0,4.0,Netherlands,Amsterdam,Red Light District and its neighboring area in downtown Amsterdam,Illicit drug dealing,Not specified,"Interviews with dealers, systematic observations ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Multinomial logit model,Conditional logit,Not specified,Interviews and systematic observations,50 dealers,Not specified,"Not specified ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age: Average age of dealers was 38.7 years - Gender: 96% male - Marital Status: Only 2 were married - Education: Many were school drop-outs - Employment: About one third were employed - Drug Use: 70% used cannabis daily, 30% used cocaine daily - **ECONOMIC VARIABLES:** - Income: Not specified - Business: Dealers' business activities - **LAND USE VARIABLES:** - Presence of retail and entertainment businesses - Accessibility: Number of connecting streets and alleys, presence of parking lots and public transport hubs - **INFRASTRUCTURE VARIABLES:** - Presence of police CCTV cameras - Police officers on foot or bike - Police cars - Police stations - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance to potential customers - **CRIME OPPORTUNITY VARIABLES:** - Potential customer density - Social control: Presence of formal and informal agents of social control - **SOCIAL/BEHAVIORAL VARIABLES:** - Dealers' perceptions of social control - **ENVIRONMENTAL VARIABLES:** - Physical disorder: Items of litter, graffiti tags, broken windows - **TEMPORAL/CONTROL VARIABLES:** - Time of day for observations ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not specified - **Demographic Variables:** 6 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Infrastructure Variables:** 4 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 2 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 1 - **Temporal/Control Variables:** 1 - **Other Variables:** Not specified ## KEY FINDINGS - **Main Results:** Dealers prefer locations with high potential customer density but are not deterred by social control. - **Significant Predictors:** Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.",0.0,6.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,"Dealers prefer locations with high potential customer density but are not deterred by social control. - **Significant Predictors:** Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","High for demographic and economic variables, medium for other categories.",0.7552447552447552,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,2015,"Wim Bernasco, Scott Jacques",Not specified,Not specified,Not specified,,Street segments,Average length of 103 meters,Small enough to be overseen and overheard from a single point,262,Not specified,Detailed spatial scale of analysis ## METHODOLOGY,"Wim Bernasco, Scott Jacques",2015,26,
5,Go where the money is: Modeling street robbers' location choices,"(Bernasco et al., 2013)",19680.0,m2,0.01968,small,Census_block,24594,12938,,10.1093/jeg/lbs005,1468-2710,Journal of Economic Geography,13.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Go where the money is: modeling street robbers' location choices,,,,,,,,,,,,,,"Wim Bernasco, Richard Block, Stijn Ruiter",-,-,-
6,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"(Bernasco et al., 2017)",19680.0,m2,0.01968,small,Census_block,24594,12938,,https://doi.org/10.1177/0022427816680681,0022-4278,The Journal of Research in Crime and Delinquency,54.0,2.0,United States,Chicago,City of Chicago,Street robbery,1996 to 1998,"Chicago Police Department, U.S. Census, marketing research firm Nielsen ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Discrete location choice models,Conditional logit model,Not mentioned,Sampling of alternatives technique,Not mentioned,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,12.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,"Most location attributes do not significantly vary by time of day or day of the week, except for high schools which are more attractive during school hours.",Presence of high schools during school hours,Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,1.0,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,Not mentioned,"Wim Bernasco, Stijn Ruiter, Richard Block",Not mentioned,Not mentioned,Not mentioned,,Census blocks,"Median size of 19,680 m² (approximately 140 x 140 m)",Census blocks in the city of Chicago,"24,594",Not mentioned,Not mentioned ## METHODOLOGY,"Wim Bernasco, Stijn Ruiter, Richard Block",-,-,-
7,The usefulness of past crime data as an attractiveness index for residential burglars,"(Hanayama et al., 2018)",25000.0,m2,0.025,small,Grid_cell,1134,369,,https://doi.org/10.1002/jip.1507,1544-4759,Journal of Investigative Psychology and Offender Profiling (Online),15.0,3.0,Japan,Sendai City,"Sendai City, Japan",Residential burglary,2007-2015,Japanese national police register; 2010 Japanese national census ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Discrete choice model,Conditional logit model,Not mentioned,Not mentioned,369 solved cases,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,7.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,"Residential burglars are attracted to areas near their residence, with many past residential burglaries, many residential units, and a higher proportion of single-family dwellings.","Distance from offender's residence, number of residential units, proportion of single-family dwellings, number of past residential burglaries, past residential burglary rate.",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,1.0,The usefulness of past crime data as an attractiveness index for residential burglars,The usefulness of past crime data as an attractiveness index for residential burglars,2018,Aiko Hanayama; Shumpei Haginoya; Hiroki Kuraishi; Masakazu Kobayashi,Not mentioned,Not mentioned,Not mentioned,,Grid cell,500 m x 500 m,"Grid cells in Sendai City, Japan","1,134",Not mentioned,Not mentioned ## METHODOLOGY,"Aiko Hanayama, | Shumpei Haginoya, Hiroki Kuraishi, Masakazu Kobayashi",2018,5,
8,Role of the Street Network in Burglars' Spatial Decision-Making,"(Frith et al., 2017)",0.0284,km2,0.0284,small,Street_segment,5286,459,"The paper does not report the spatial unit size. and uses street segments as the spatial unit. The average area per street segment was estimated by dividing the total study area (150 km²) by the number of street segments (5,286), resulting in an average of approximately 0.028 km²  per segment.",https://doi.org/10.1111/1745-9125.12133,00111384,Criminology,55.0,2.0,United Kingdom,"High Wycombe, Beaconsfield, Marlow in Buckinghamshire","Built-up areas of High Wycombe, Beaconsfield, and Marlow with a 1-km buffer",Residential burglary,04/01/2004 to 03/31/2014,Thames Valley Police ## SPATIAL UNIT OF ANALYSIS (SUoA),Cross-sectional,Mixed logit model,Discrete choice model,,,459 residential burglaries,,"Hierarchical Bayes ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - **ECONOMIC VARIABLES:** - **LAND USE VARIABLES:** - **INFRASTRUCTURE VARIABLES:** - **DISTANCE/ACCESSIBILITY VARIABLES:** - **CRIME OPPORTUNITY VARIABLES:** - **SOCIAL/BEHAVIORAL VARIABLES:** - **ENVIRONMENTAL VARIABLES:** - **TEMPORAL/CONTROL VARIABLES:** - **OTHER VARIABLES:** ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** - **Demographic Variables:** - **Economic Variables:** - **Land Use Variables:** - **Infrastructure Variables:** - **Distance/Accessibility Variables:** - **Crime Opportunity Variables:** - **Social/Behavioral Variables:** - **Environmental Variables:** - **Temporal/Control Variables:** - **Other Variables:** ## KEY FINDINGS - **Main Results:** The study supports crime pattern theory and Newman's concept of defensible space, indicating that nonlocal pedestrian traffic increases burglary risk while local pedestrian traffic decreases it. - **Significant Predictors:** Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The study supports crime pattern theory and Newman's concept of defensible space, indicating that nonlocal pedestrian traffic increases burglary risk while local pedestrian traffic decreases it. - **Significant Predictors:** Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium","Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium", - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium, ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium,Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium,Some variable details and data sources not specified - **Extraction Confidence:** Medium,Medium,0.991869918699187,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING,2017,"Michael J Frith, Shane D Johnson, Hannah M Fry",,,Approximately 150 km²,,Street segment,,Street segments within the study area,"5,286 street segments",,Street segments are a natural unit for studying crime as they reflect how people navigate their environment. ## METHODOLOGY,"Michael J Frith, Shane D Johnson, Hannah M Fry",2017,63,CrimRxiv
9,discrete choice analysis of spatial attack sites,"(Smith & Brown, 2007)",0.032,km2,0.032,small,Grid_cell,	4895,425,"he paper does not report the spatial unit size directly but uses a regular grid of spatial cells as the choice set for modeling. For the City of Richmond, Virginia, the study area was divided into a grid of 100 rows by 100 columns, and after removing cells outside the city limits, 4,895 grid cells remained. The north–south spacing between centroids was 170 meters and the east–west spacing was 191 meters, resulting in grid cells of approximately 0.032 km² (170 m × 191 m ≈ 32,470 m²) each. This approach provides a fine-grained spatial resolution for the analysis of attack site selection.",10.1007/s10257-007-0045-1,,,5.0,3.0,United States,"Richmond, VA",City of Richmond,Breaking and entering,1997,"Richmond City Records Management Center, GIS layers ## SPATIAL UNIT OF ANALYSIS (SUoA)",Cross-sectional,Multinomial discrete choice model,Multinomial logit,R software package,Random partition into training and test sets,637 distinct spatial selections,Grid cell centroids,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** 38 demographic profile variables aggregated at the census block group level - **ECONOMIC VARIABLES:** Not explicitly mentioned - **LAND USE VARIABLES:** Not explicitly mentioned - **INFRASTRUCTURE VARIABLES:** Not explicitly mentioned - **DISTANCE/ACCESSIBILITY VARIABLES:** Proximity measurements to each of 30 features - **CRIME OPPORTUNITY VARIABLES:** Not explicitly mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** Not explicitly mentioned - **ENVIRONMENTAL VARIABLES:** Not explicitly mentioned - **TEMPORAL/CONTROL VARIABLES:** Not explicitly mentioned - **OTHER VARIABLES:** Not explicitly mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 11 predictors used - **Demographic Variables:** 38 - **Economic Variables:** Not mentioned - **Land Use Variables:** Not mentioned - **Infrastructure Variables:** Not mentioned - **Distance/Accessibility Variables:** 30 features - **Crime Opportunity Variables:** Not mentioned - **Social/Behavioral Variables:** Not mentioned - **Environmental Variables:** Not mentioned - **Temporal/Control Variables:** Not mentioned - **Other Variables:** Not mentioned ## KEY FINDINGS - **Main Results:** Discrete choice models outperform hot spot models. - **Significant Predictors:** u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.",11.0,38.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,"Discrete choice models outperform hot spot models. - **Significant Predictors:** u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","High for extracted information, medium for missing details.",1.0,Discrete choice analysis of spatial attack sites,Discrete choice analysis of spatial attack sites,2007,"Michael A Smith, Ae D E Brown, Donald E Brown",Not mentioned,Not mentioned,Not explicitly mentioned,,Grid cell,170m x 191m,Grid with 100 rows and 100 columns,"4,895",Not mentioned,Not explicitly mentioned ## METHODOLOGY,"Michael A Smith, Ae D E Brown, Donald E Brown",2007,16,Inf. Syst. E Bus. Manag.
10,Adolescent offenders' current whereabouts predict locations of their future crime,"(Bernasco, 2019)",40000.0,m2,0.04,small,Grid_cell,4.558,165,,10.1371/journal.pone.0210733,1932-6203,PLoS One,14.0,1.0,Netherlands,The Hague,The Hague and its suburbs,Various property and violent crimes,2008-2012,"Self-report questionnaires, space-time budget interviews, police records ## SPATIAL UNIT OF ANALYSIS (SUoA)",Longitudinal,Discrete spatial choice approach,Conditional logit model,Not specified,Two-wave panel study,843 adolescents,Not explicitly mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age: Age of participants (12-13 and 15-16) - Gender: Gender of participants - Ethnic background: Ethnic background of participants - **LAND USE VARIABLES:** - Activity space: Locations frequently visited by participants - Prior crime locations: Locations where participants previously committed crimes - **CRIME OPPORTUNITY VARIABLES:** - Presence of businesses: Presence of catering and retail businesses in grid cells - **SOCIAL/BEHAVIORAL VARIABLES:** - Routine activities: Participants' daily routines and activities ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 5 - **Demographic Variables:** 3 - **Land Use Variables:** 2 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 1 ## KEY FINDINGS - **Main Results:** Offenders tend to commit crimes in and around their activity space and prior crime locations. - **Significant Predictors:** Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High",5.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,"Offenders tend to commit crimes in and around their activity space and prior crime locations. - **Significant Predictors:** Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High","Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High",Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,,Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,High,0.9937888198757764,Adolescent offenders' current whereabouts predict locations of their future crimes,Adolescent offenders' current whereabouts predict locations of their future crimes,2019,Wim Bernasco,PLOS ONE,10.1371/journal.pone.0210733,Not specified,,Grid cells,200x200m,Grid cells used to measure activity space and crime locations,4558,Not specified,Not explicitly mentioned ## METHODOLOGY,Wim Bernasco,2019,21,PLoS ONE
