Title_Elicit,Year_Elicit,Authors_Elicit,Journal_Elicit,DOI_Elicit,Country,City_Region,Study_Area_Size,Study_Area_Description,Crime_Type,Crime_Types_All,Study_Period,Data_Sources,SUoA_Type,SUoA_Size_Elicit,SUoA_Description,Number_of_Units_Elicit,Population_per_Unit,SUoA_Justification,Study_Design,Statistical_Method,Model_Type,Software_Used,Sampling_Approach,Sample_Size_Elicit,Choice_Set_Definition,Estimation_Method,Total_Variables,Demographic_Vars,Economic_Vars,LandUse_Vars,Infrastructure_Vars,Distance_Vars,Crime_Opportunity_Vars,Social_Vars,Environmental_Vars,Temporal_Vars,Main_Results,Significant_Predictors,Model_Performance,Scale_Effects,Variable_Info_Quality,Missing_Information,Extraction_Confidence,Elicit_Index,Title_Original_Elicit,Authors_Original,Year_Original,Citation_Count,Venue
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS,2013,"Peter Baudains, Alex Braithwaite, Shane D Johnson",,,United Kingdom,London,,London during the 2011 riots,Riot-related incidents,,August 2011,Police data for riot-related incidents ## SPATIAL UNIT OF ANALYSIS (SUoA),U.K. census Lower Super Output Areas (LSOAs),,LSOAs in Greater London,"4,765",, ## METHODOLOGY,Cross-sectional,Random utility model,Discrete choice model,STATA 10 SE,,"2,299 records",,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population churn rate - Ethnic diversity - **ECONOMIC VARIABLES:** - Deprivation (Index of Multiple Deprivation) - **LAND USE VARIABLES:** - Presence of schools - Presence of retail facilities - **INFRASTRUCTURE VARIABLES:** - Presence of underground stations - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from city center - Distance from home location - **CRIME OPPORTUNITY VARIABLES:** - Previous offenses in the area - **SOCIAL/BEHAVIORAL VARIABLES:** - Contagion (previous unrest) - **TEMPORAL/CONTROL VARIABLES:** - Time of day (not explicitly mentioned but implied in the context of the study) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** - **Demographic Variables:** 2 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 1 - **Temporal/Control Variables:** 1 ## KEY FINDINGS - **Main Results:** Rioters tend to target areas close to their home locations and those with routine activity nodes and transport hubs. - **Significant Predictors:** Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High",0,2,1,2,1,2,1,1,0,1,"Rioters tend to target areas close to their home locations and those with routine activity nodes and transport hubs. - **Significant Predictors:** Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High","Propinquity, presence of schools, presence of underground stations, previous offenses in the area. - **Model Performance:** Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High",Pseudo R-squared values range from .31 to .36. - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High, ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,Complete - **Missing Information:** Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,Some details about spatial unit size and justification for SUoA choice are not specified. - **Extraction Confidence:** High,High,0,TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,"Peter Baudains, Alex Braithwaite, Shane D Johnson",2013,85,
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,2009,"Joseph Clare, John Fernandez, Frank Morgan",Not mentioned,Not mentioned,Australia,"Perth, Western Australia",Not mentioned,City of Perth,Residential burglary,,2001-2002,Western Australian Police ## SPATIAL UNIT OF ANALYSIS (SUoA),Residential suburbs,Not mentioned,291 residential suburbs in Perth,291,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete spatial choice model,Not mentioned,Not mentioned,"1,761 single-offender residential burglaries",291 residential suburbs,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age: Offender age at time of apprehension - Indigenous status: Offender's Indigenous status - Sex: Offender's sex - **ECONOMIC VARIABLES:** - Affluence: Victim suburb weekly income - SEIFA index: Socio-Economic Index for Areas - **LAND USE VARIABLES:** - Residential units: Number of residential units in victim suburb - **INFRASTRUCTURE VARIABLES:** - Barrier — River: Presence of river between offender's home and target suburb - Barrier — Road: Presence of major road between offender's home and target suburb - Connector — Train: Presence of train line in both offender's home and target suburb - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance — Adults: Distance between offender's home and target suburb for adults - Distance — Juveniles: Distance between offender's home and target suburb for juveniles - **CRIME OPPORTUNITY VARIABLES:** - Success — Transience: 5-year residential mobility rates in target suburb - Success — Rent: Percentage of rental properties in target suburb - Success — Ethnic heterogeneity: Percentage of Indigenous residents in target suburb ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 12 - **Demographic Variables:** 3 - **Economic Variables:** 2 - **Land Use Variables:** 1 - **Infrastructure Variables:** 3 - **Distance/Accessibility Variables:** 2 - **Crime Opportunity Variables:** 3 ## KEY FINDINGS - Physical barriers and connectors significantly influence target suburb utility. - Barriers reduce the likelihood of offending, while connectors increase it. - Distance has a differential effect on offender decision-making based on age. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High",12,3,2,1,3,2,3,0,0,0,,,,,Complete - **Missing Information:** Not mentioned - **Extraction Confidence:** High,Not mentioned - **Extraction Confidence:** High,High,1,Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"Joseph Clare, John Fernandez, Frank Morgan",2009,100,
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,2023,"Han Yue, Lin Liu, Luzi Xiao, Y D Wei",Not mentioned,Not mentioned,China,ZG city,Not mentioned,Inner city of ZG,Street theft crime,,2017-2018,"Baidu Street View images, police department data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Community,Not mentioned,Communities in ZG city,1636,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial choice model,Conditional logit model,Not mentioned,Not mentioned,1540 crimes,Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **Streetscape variables:** - Number of people on the street - Percent fence - Percent wall - Percent window - Percent grass - Percent plant - Percent sidewalk - **Crime attractors, generators, and detractors:** - ATM and banks - Bus stops - Subway stations - Schools - Hospitals - Guard stations - **Socioeconomic features:** - Percent migrants - Percent low-rent houses - **Distance/Accessibility variables:** - Proximity (distance from offender's residence) ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 14 - **Streetscape variables:** 7 - **Crime attractors, generators, and detractors:** 6 - **Socioeconomic features:** 2 - **Distance/Accessibility variables:** 1 ## KEY FINDINGS - **Main Results:** The number of people on the street, fences, plants, and proximity to offenders' homes significantly influence crime location choices. - **Significant Predictors:** Number of people on the street, fences, plants, grasses, sidewalks, proximity. - **Model Performance:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High",14,0,0,0,0,1,0,0,0,0,"The number of people on the street, fences, plants, and proximity to offenders' homes significantly influence crime location choices. - **Significant Predictors:** Number of people on the street, fences, plants, grasses, sidewalks, proximity. - **Model Performance:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High","Number of people on the street, fences, plants, grasses, sidewalks, proximity. - **Model Performance:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High","Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High",,"Complete - **Missing Information:** Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High","Study area size, population per unit, justification for SUoA choice, software used, sampling approach, choice set definition. - **Extraction Confidence:** High",High,2,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,"Han Yue, Lin Liu, Luzi Xiao, Y D Wei",2023,15,Applied Geography
Target Selection Models with Preference Variation Between Offenders,Not specified in the provided text,Michael Townsley; Daniel Birks; Stijn Ruiter; Wim Bernasco; Gentry White,Not specified in the provided text,Not specified in the provided text,Australia,Brisbane,Not specified in the provided text,Brisbane Local Government Area,Residential burglary,,2006-2009,Australian Bureau of Statistics (ABS) 2006 Census --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Statistical Local Area (SLA),Not specified in the provided text,Defined as possible offending areas,158 SLAs,Not specified in the provided text,Not specified in the provided text --- ## METHODOLOGY,Not specified in the provided text,Mixed logit model,Mixed logit model,R using the RSGHB package,Not specified in the provided text,"2,844 detected residential burglaries",Defined as 158 SLAs,Hierarchical Bayes --- ## COMPLETE INDIVIDUAL VARIABLE LIST,6,0,1,1,0,2,1,1,0,0,Considerable preference variation between offenders; mixed logit model provides a better fit than conditional logit model.,"Proximity to offender's home and city center, residential mobility.",Mixed logit model showed a fivefold increase in fit over the conditional logit model.,Not specified in the provided text --- ## DATA QUALITY NOTES,Partial,"Journal name, publication year, DOI, filename, study area size, population per unit, justification for SUoA choice, some variable categories not specified.",Medium,3,Target Selection Models with Preference Variation Between Offenders,"Michael Townsley, Daniel Birks, Stijn Ruiter, Wim Bernasco, • Gentry White",-,-,-
Effects of residential history on commercial robbers' crime location choices,Not specified,"Wim Bernasco, Thessa Kooistra",Not specified,Not specified,Netherlands,Not specified,Not specified,Postal code areas in the Netherlands,Commercial robberies,,2004 and 2005,"National Commercial Robbery Registration System (LORS), Nationwide Citizen Information System (GBA), database of demographic, social, and economic information on postal code areas ## SPATIAL UNIT OF ANALYSIS (SUoA)",Postal code areas,Average population size of 4900 and average number of households of 2100,Postal code areas in the Netherlands,4006,Average population size of 4900,Not specified ## METHODOLOGY,Cross-sectional,Conditional logit model,Conditional logit,Not specified,Selection of solitary offenders,276 robberies,Comparison of targeted and non-targeted postal code areas,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Population density - Age structure - Gender ratios - Household composition - **ECONOMIC VARIABLES:** - Total floor area of retail businesses - Mean value of residential property - **LAND USE VARIABLES:** - Residential density - Commercial area - **INFRASTRUCTURE VARIABLES:** - Distance to the nearest highway ramp - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance from offender's residence to crime location - **CRIME OPPORTUNITY VARIABLES:** - Target density - **SOCIAL/BEHAVIORAL VARIABLES:** - Residential history (duration and recency) - **TEMPORAL/CONTROL VARIABLES:** - Time since last residence change ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 8 - **Demographic Variables:** 4 - **Economic Variables:** 2 - **Land Use Variables:** 2 - **Infrastructure Variables:** 1 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 1 - **Temporal/Control Variables:** 1 ## KEY FINDINGS - Offenders are more likely to commit crimes in their current and former residential areas. - Duration and recency of residence significantly affect crime location choices. - Former areas are more likely to be targeted if the offender lived there for a longer period or left recently. ## DATA QUALITY NOTES - Variable information quality: Complete - Missing information: None noted - Extraction confidence: High,8,4,2,2,1,1,1,1,0,1,,,,,,,,4,Effects of residential history on commercial robbers' crime location choices,"Wim Bernasco, Thessa Kooistra",-,-,-
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,2018,"Sabine E M Van Sleeuwen, Stijn Ruiter, Barbara Menting",Not specified,Not specified,Netherlands,The Hague,Not specified,Greater The Hague area,Not specified,,2006 to 2009,"Dutch Suspect Identification System, nationwide citizen information system (BRP) ## SPATIAL UNIT OF ANALYSIS (SUoA)",Four-digit postal code areas,Not specified,142 different four-digit postal code areas in The Hague,142,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Discrete spatial choice models,Conditional logit model,Not specified,Not specified,"12,639 offenses",Not specified,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** Not specified - **ECONOMIC VARIABLES:** Not specified - **LAND USE VARIABLES:** Not specified - **INFRASTRUCTURE VARIABLES:** Not specified - **DISTANCE/ACCESSIBILITY VARIABLES:** Not specified - **CRIME OPPORTUNITY VARIABLES:** Not specified - **SOCIAL/BEHAVIORAL VARIABLES:** Not specified - **ENVIRONMENTAL VARIABLES:** Not specified - **TEMPORAL/CONTROL VARIABLES:** Timing of crime within the week and day - **OTHER VARIABLES:** Not specified ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not specified - **Demographic Variables:** Not specified - **Economic Variables:** Not specified - **Land Use Variables:** Not specified - **Infrastructure Variables:** Not specified - **Distance/Accessibility Variables:** Not specified - **Crime Opportunity Variables:** Not specified - **Social/Behavioral Variables:** Not specified - **Environmental Variables:** Not specified - **Temporal/Control Variables:** Not specified - **Other Variables:** Not specified ## KEY FINDINGS - **Main Results:** Offenders are more likely to return to previously targeted areas at similar times and days. - **Significant Predictors:** Timing of crime within the week and day - **Model Performance:** Pseudo R² of .32 - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,0,0,0,0,0,0,0,0,0,0,Offenders are more likely to return to previously targeted areas at similar times and days. - **Significant Predictors:** Timing of crime within the week and day - **Model Performance:** Pseudo R² of .32 - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Timing of crime within the week and day - **Model Performance:** Pseudo R² of .32 - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Pseudo R² of .32 - **Scale Effects:** Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Not specified ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Partial - **Missing Information:** Some information not specified - **Extraction Confidence:** Medium,Some information not specified - **Extraction Confidence:** Medium,Medium,5,A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,"Sabine E M Van Sleeuwen, Stijn Ruiter, Barbara Menting",2018,21,
A Sentimental Journey to Crime: Effects of Residential History on Crime Location Choice,2010,Wim Bernasco,Criminology,Not mentioned,Netherlands,Greater The Hague,Not mentioned,Not mentioned,"Robberies, residential burglaries, thefts from vehicles, assaults",,2004-2005,"Police information system, population registration data, national database of demographic, social, and economic information ## SPATIAL UNIT OF ANALYSIS (SUoA)",Postal code areas,Not mentioned,Postal code areas used as spatial units for analysis,"Approximately 4,000","Average population size of 4,900","Postal code boundaries designed with post delivery services in mind, ensuring minimal physical restrictions on travel within the area ## METHODOLOGY",Cross-sectional,Discrete choice model,Conditional logit model,Not mentioned,"Random sample of 4,410 persons arrested in 2004 or 2005","3,784 individuals used in the analysis",Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Sex: Male/Female - Age: 12–18, 19–22, 23–30, 31–40, 41 or older - Country of birth: Netherlands, Surinam, Netherlands Antilles or Aruba, Morocco, Turkey, Other - **ECONOMIC VARIABLES:** - Prior offenses: 1–2, 3–10, 11 or more - **LAND USE VARIABLES:** - Population size: Average population size of 4,900 - Percentage single-person households: Not mentioned - Poverty level: Measured by average value of residential property - Level of urbanization: Score assigned by Statistics Netherlands - **INFRASTRUCTURE VARIABLES:** - Distance to current area of residence: Continuous variable - Distance to former area of residence: Continuous variable - **CRIME OPPORTUNITY VARIABLES:** - Whether the offender lives in the area: Dichotomous variable - Whether the offender ever has lived in the area before: Dichotomous variable - **SOCIAL/BEHAVIORAL VARIABLES:** - Number of addresses per 10 years: 0–1.0, 1.1–2.0, 2.1–3.0, 3.1–5.0, 5.1–10.0, 11 or more - **TEMPORAL/CONTROL VARIABLES:** - Duration and recency of residence: Dichotomous variables ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not mentioned - **Demographic Variables:** 3 - **Economic Variables:** 1 - **Land Use Variables:** 4 - **Infrastructure Variables:** 2 - **Crime Opportunity Variables:** 2 - **Social/Behavioral Variables:** 1 - **Temporal/Control Variables:** 2 ## KEY FINDINGS - **Main Results:** Offenders are more likely to commit crimes in areas where they live or have lived. - **Significant Predictors:** Current and former residential areas, duration and recency of residence. - **Model Performance:** Pseudo R² = .23 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High",0,3,1,4,2,0,2,1,0,2,"Offenders are more likely to commit crimes in areas where they live or have lived. - **Significant Predictors:** Current and former residential areas, duration and recency of residence. - **Model Performance:** Pseudo R² = .23 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High","Current and former residential areas, duration and recency of residence. - **Model Performance:** Pseudo R² = .23 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High",Pseudo R² = .23 - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High,Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High,Complete - **Missing Information:** Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High,Some details about spatial unit size and justification for choice not mentioned. - **Extraction Confidence:** High,High,6,A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Wim Bernasco,2010,204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"Luzi Xiao, Stijn Ruiter, Lin Liu, Guangwen Song, Suhong Zhou",2021,12,"Computers, Environment and Urban Systems"
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE,Not mentioned,"Barbara Menting, Marre Lammers, Stijn Ruiter, Wim Bernasco",Not mentioned,Not mentioned,Netherlands,Greater The Hague area,Not mentioned,Urban area with a population that is not fully representative of the rest of the Netherlands,Not specified,,2006-2009,"Police information system, population registration data ## SPATIAL UNIT OF ANALYSIS (SUoA)",Four-digit postal code areas,Average area size of 2.96 km²,142 four-digit postal code areas in the greater The Hague area,142,"Average population size of around 7,000",Not mentioned ## METHODOLOGY,Cross-sectional,Discrete spatial choice models,Conditional logit model,Not mentioned,Not mentioned,"19,420 offenses",Not mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **Demographic Variables:** - Residential areas of family members (parents, siblings, children) - Gender of offender and family members - **Economic Variables:** - Not mentioned - **Land Use Variables:** - Not mentioned - **Infrastructure Variables:** - Not mentioned - **Distance/Accessibility Variables:** - Distance to current residential area of offender - **Crime Opportunity Variables:** - Previous crime locations - **Social/Behavioral Variables:** - Not mentioned - **Environmental Variables:** - Not mentioned - **Temporal/Control Variables:** - Not mentioned - **Other Variables:** - Current and former residential areas of offenders ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not mentioned - **Demographic Variables:** 1 - **Economic Variables:** 0 - **Land Use Variables:** 0 - **Infrastructure Variables:** 0 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 0 - **Environmental Variables:** 0 - **Temporal/Control Variables:** 0 - **Other Variables:** 1 ## KEY FINDINGS - **Main Results:** Residential areas of family members are at increased risk of being targeted. - **Significant Predictors:** Current familial residential areas, particularly those of children. - **Model Performance:** Pseudo-R² ranged between .30 and .31. - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High",0,1,0,0,0,1,1,0,0,0,"Residential areas of family members are at increased risk of being targeted. - **Significant Predictors:** Current familial residential areas, particularly those of children. - **Model Performance:** Pseudo-R² ranged between .30 and .31. - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High","Current familial residential areas, particularly those of children. - **Model Performance:** Pseudo-R² ranged between .30 and .31. - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High","Pseudo-R² ranged between .30 and .31. - **Scale Effects:** Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High","Not mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High","Complete - **Missing Information:** Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High","Some details not mentioned (e.g., exact study area size, software used) - **Extraction Confidence:** High",High,8,FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,"Barbara Menting, Marre Lammers, Stijn Ruiter, Wim Bernasco",-,-,-
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE",Not specified,Marre Lammers; Barbara Menting; Stijn Ruiter; Wim Bernasco,Not specified,Not specified,Netherlands,Greater The Hague area,2.96 km² per postal code area,142 four-digit postal code areas,"Burglary, robbery, assault, theft from a vehicle",,2006-2009,Police records; LISA database ## SPATIAL UNIT OF ANALYSIS (SUoA),Four-digit postal code area,2.96 km²,Areas people are familiar with,142,"Approximately 7,000",Familiarity for residents ## METHODOLOGY,Longitudinal,Discrete choice models,Conditional logit,Not specified,Based on postal code areas,"12,639 offenses",142 postal code areas,Not specified ## COMPLETE INDIVIDUAL VARIABLE LIST,0,3,3,4,0,2,2,0,0,2,Offenders are more likely to commit crimes in areas they have previously targeted.,Prior crime locations; distance to prior offense; recency of prior offenses; number of prior offenses; type of prior offenses.,Pseudo R-squared values between .30 and .35.,Not mentioned ## DATA QUALITY NOTES,Complete for mentioned variables,Journal name and DOI not provided,High,9,"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Marre Lammers, Barbara Menting, Stijn Ruiter, Wim Bernasco",-,-,-
