Std_Index,Std_Title,Elicit_Index,Elicit_Title,Match_Score
0,A discrete spatial choice model of burglary target selection at the house-level,28,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,0.731098232057136
1,Residential burglary target selection: An analysis at the property-level using Google Street View,49,Residential burglary target selection: An analysis at the property-level using Google Street View,1
2,Graffiti Writers Choose Locations That Optimize Exposure,39,Graffiti Writers Choose Locations That Optimize Exposure,1
3,Where Do Dealers Solicit Customers and Sell Them Drugs,47,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,0.868913857677903
4,Go where the money is: Modeling street robbers' location choices,43,Go where the money is: modeling street robbers' location choices,1
5,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,42,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,1
6,The usefulness of past crime data as an attractiveness index for residential burglars,44,The usefulness of past crime data as an attractiveness index for residential burglars,1
7,Role of the Street Network in Burglars' Spatial Decision-Making,37,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,0.994623655913978
8,discrete choice analysis of spatial attack sites,48,Discrete choice analysis of spatial attack sites,1
9,Adolescent offenders' current whereabouts predict locations of their future crime,45,Adolescent offenders' current whereabouts predict locations of their future crimes,0.995884773662551
10,spatial analysis with preference specification of latent decision makers for criminal event prediction,41,Spatial analysis with preference specification of latent decision makers for criminal event prediction,1
11,Modelling the spatial decision making of terrorists: The discrete choice approach,40,Modelling the spatial decision making of terrorists: the discrete choice approach,1
12,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),31,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,0.982993197278912
13,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),1,TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,0.986254295532646
14,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,32,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,1
15,Modelling taste heterogeneity regarding offence location choices (Census output area),38,Modelling taste heterogeneity regarding offence location choices,0.923694779116466
16,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),35,LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,0.868421052631579
17,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,33,HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,0.916696055957209
18,Co-offending and the Choice of Target Areas in Burglary,34,Co-offending and the Choice of Target Areas in Burglary,1
19,Burglar Target Selection: A Cross-national Comparison (NL),36,Burglar Target Selection: A Crossnational Comparison,0.981481481481481
20,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,30,"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",0.839463601532567
21,Where offenders choose to attack: A discrete choice model of robberies in Chicago,26,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,1
22,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',29,"""""Location, Location, Location"""": Effects of Neighborhood and House Attributes on Burglars' Target Selection",1
23,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,27,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,1
24,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,24,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,1
25,familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices,22,Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,1
26,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,23,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,1
27,Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,25,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,1
28,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,28,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,1
29,Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,21,"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",1
30,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,15,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,1
31,Do Migrant and Native Robbers Target Different Places?,16,Do Migrant and Native Robbers Target Different Places?,1
