"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kim J.; Seo S.; Jeong C.; Bae E.; Lee D.; Kim J.; Ko E.; Choi H.; Han S.B.","Kim, Jiyu (58117378100); Seo, Sumin (57217187566); Jeong, Chohee (58116881800); Bae, Eunbin (58117717500); Lee, Donghee (57237597800); Kim, Juhyeon (58796022900); Ko, Eunjin (59439905000); Choi, Hamin (59440296000); Han, Sang Beom (58847648500)","58117378100; 57217187566; 58116881800; 58117717500; 57237597800; 58796022900; 59439905000; 59440296000; 58847648500","Serially coupled columns enhance rapid separation and predictive interaction understanding of 93 fentanyl analogs","2025","Analytica Chimica Acta","1336","","343479","","","","0","10.1016/j.aca.2024.343479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210354931&doi=10.1016%2fj.aca.2024.343479&partnerID=40&md5=8b85559c6f32dd263b695bd69b72c5bd","Background: The simplicity of synthesis methods has facilitated the illegal manufacture of various fentanyl analogs, leading to numerous fatal overdoses worldwide, particularly in North America. Fentanyl analogs with similar structures are difficult to distinguish due to their fragmentation patterns, making separation using chromatography essential. Additionally, because fentanyl analogs are lethal even in trace amounts, they are easily smuggled, and commonly used fentanyl test strips often fail to detect them due to their low sensitivity. Therefore, the urgent need for analytical methods that can simultaneously identify multiple analogs and swiftly detect them at low concentrations. Results: In this study, liquid chromatography-tandem mass spectrometry was conducted to screen 93 types of fentanyl analogs among the illegal fentanyl substances. The phenyl-hexyl columns enhance fentanyl analog separation through strong π–π interactions. The serially coupled column system increased the separation efficiency and mitigated peak distortion, particularly those of polar fentanyl analogs. The selectivity varied significantly, depending on the interactions with the combined columns. The phenyl-hexyl column's superior ability to predict fentanyl analog interactions based on molecular structure was confirmed by retention factor analysis. The resolution of fentanyl isomers increased significantly when methanol was used instead of acetonitrile as an organic modifier in the mobile phase. The approach was validated by determining the limits of detection and quantification, specificity, detection capability, recovery, and relative ion intensity. Significance: The fentanyl analogs, including 23 sets of isomeric and isobaric compounds, were analyzed via separation using a phenyl-hexyl column serially coupled with a cyano column. The serially coupled column system increased the separation efficiency and mitigated peak distortion, particularly those of polar fentanyl analogs. The proposed strategy can be adopted in exploring methods of effectively separating mixtures with diverse properties, aiding the prevention of drug abuse and bolstering public health and safety efforts. © 2024 Elsevier B.V.","Fentanyl analogs; Liquid chromatography (LC); Mass spectrometry (MS); Serially coupled columns; π–π interactions","Column chromatography; Crime; Drug interactions; Liquid chromatography; 93 fentanyl analogs; fentanyl; unclassified drug; Column systems; Fentanyl analogs; Fentanyls; Liquid chromatography; Mass spectrometry; Rapid separation; Separation efficiency; Serially coupled columns; Synthesis method; π-π interaction; Article; calibration; chromatography; flow rate; fragmentation reaction; isobaric labeling; limit of detection; limit of quantitation; liquid chromatography-mass spectrometry; measurement repeatability; multiple reaction monitoring; prediction; qualitative analysis; rapid separation; tandem mass spectrometry; validation process; Isomers","Article","Final","","Scopus","2-s2.0-85210354931"
"Paquette S.; Ha O.; Chopin J.; Beauregard E.; McCuish E.","Paquette, Sarah (55748175600); Ha, Olivia (57190497052); Chopin, Julien (57195104543); Beauregard, Eric (17344924200); McCuish, Evan (55330876200)","55748175600; 57190497052; 57195104543; 17344924200; 55330876200","Offending Patterns in Cases of Sexual Violence Committed by Multiple Perpetrators","2024","Victims and Offenders","19","5","","778","798","20","1","10.1080/15564886.2023.2255590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170664741&doi=10.1080%2f15564886.2023.2255590&partnerID=40&md5=0dc58f3170aae1567a118967edc0fe28","Sexual violence committed by multiple perpetrators is a particularly worrying phenomenon given that the severity of psychopathological sequelae for the victims are increased when the sexual offense is committed by more than one offender. Preliminary studies showed that sexual violence committed by solo offenders is different from that of duos or groups of offenders. This study explores the heterogeneity within 983 cases of sexual violence committed by multiple perpetrators, with a focus not only on offenders’ modus operandi, but also victims’ routine activities and situational aspects of the crime. Results from a latent class analysis identified four offending patterns: sexual violence committed by multiple perpetrators where: 1) stranger victims were randomly selected; 2) offenders were geographically mobile; 3) victims were assaulted during social events; and 4) offenders were non-sexually motivated. Findings help identify situational characteristics interacting with offenders’ behaviors and victims’ routine activities associated with sexual violence committed by multiple perpetrators. The implications regarding the heterogeneity of criminal patterns in these forms of violence is discussed in relation to police practice, situational crime prevention strategies, and future research. © 2023 Taylor & Francis Group, LLC.","group rape; multiple perpetrator sexual offending; multiple perpetrator sexual offenses; multiple perpetrators; Sexual violence","","Article","Final","","Scopus","2-s2.0-85170664741"
"Wen J.; Zhou S.; Li S.","Wen, Juanyong (59236250200); Zhou, Suhong (57206757862); Li, Shuangming (59236383000)","59236250200; 57206757862; 59236383000","Spatiotemporal Characteristics of Excessive Drinking and its Influencing Factors in a Dynamic Geographic Context: A Case Study of Central Guangzhou, China; [动 态 地 理 背 景 下 过 度 饮 酒 行 为 的 时 空 特 征 及 影 响因 素——以广州市中心城区为例]","2024","Journal of Geo-Information Science","26","8","","1794","1810","16","0","10.12082/dqxxkx.2024.230618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199759023&doi=10.12082%2fdqxxkx.2024.230618&partnerID=40&md5=e75e8fbc7efb7647f23de85e962934bb","The harms of excessive drinking are important issues faced by China and other countries around the world. Previous studies have identified certain relationships between drinking behaviors and environmental factors, with limited consideration of the dynamic geographic context and spatiotemporal heterogeneity of these relationships. This study constructs a theoretical framework for the relationships between excessive drinking and geographical environment factors (i.e., alcohol availability, spatial disorder, and social disorder). Using multisource spatiotemporal data, including the alcoholism cases received by Guangzhou Emergency Medical Command Center and mobile signaling data, the study explores the spatiotemporal patterns and the influencing factors of excessive drinking in a dynamic geographic context. Results show that: (1) Excessive drinking events mostly occur on weekends, at night, and in urban commercial centers. Its spatial distribution is balanced in the daytime but congregated in the nighttime; (2) Excessive drinking is influenced by alcohol availability (positively correlated with the density of KTVs and traffic stations). The positive impact of KTVs is prominent in the old urban area in the daytime and is prominent in more areas in the nighttime. The positive impact of traffic stations is mainly observed at the edge of central urban area and in suburban areas, and is relatively stronger in the daytime; (3) Excessive drinking is also affected by certain spatial disorder factors (positively correlated with the land development level), but has no significant relationship with building age and streetscape messiness. The positive impact of land development level is prominent in the new urban scenic core area and the urban villages at the urban-rural fringe, with a stronger impact in the daytime; (4) The relationship between excessive drinking and social disorder shows greater spatiotemporal differentiation and complexity. Overall, excessive drinking is negatively correlated with the proportion of nonlocal-born population, and positively correlated with the proportion of low-educated population and residential rent; (5) By analyzing different leading factors influencing excessive drinking in the daytime or nighttime, four types of spatial units can be identified, allowing for respective interventions in these zones to reduce the risk of excessive drinking. This study reveals the relationships between excessive drinking and geographical environment in a dynamic geographic context and at a smaller spatial scale, which fills the gap of lacking smaller-scale analysis, spatiotemporal heterogeneity perspective, and consideration of dynamic geographic context in previous studies. Our results provide insights for alcohol policy making, regional security and medical resource allocation, spatial planning, and environmental intervention related to health issues. © 2024 Science Press. All rights reserved.","alcoholism; crime geography; dynamic geographic context; emergency medical data; excessive drinking; geographic weighted regression; geographical environment; health geography; spatiotemporal patterns","China; Guangdong; Guangzhou; Health risks; Housing; Logistic regression; Rural areas; Alcoholism; Crime geography; Dynamic geographic context; Emergency medical data; Excessive drinking; Geographic contexts; Geographic weighted regression; Geographical environment; Geographics; Health geography; Medical data; Spatiotemporal patterns; Weighted regression; alcohol consumption; crime; drinking; GIS; health geography; regression analysis; spatiotemporal analysis; Crime","Article","Final","","Scopus","2-s2.0-85199759023"
"Abd Hamid N.; Raja Bongsu R.H.; Mohamed M.A.; Abidin Bharun A.F.A.; Abdul Kadir M.F.; Youzlan N.; Rusyn V.","Abd Hamid, Nazirah (55047020800); Raja Bongsu, Raja Hasyifah (58865488400); Mohamed, Mohamad Afendee (57215559587); Abidin Bharun, Ahmad Faisal Amri (57215912802); Abdul Kadir, Mohd Fadzil (56481265700); Youzlan, Nurazizah (58865128300); Rusyn, Volodymyr (55226544500)","55047020800; 58865488400; 57215559587; 57215912802; 56481265700; 58865128300; 55226544500","Comparative analysis of classification algorithm to authenticate user based on keystroke technique","2024","Proceedings of SPIE - The International Society for Optical Engineering","12938","","129381V","","","","0","10.1117/12.3014601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184140542&doi=10.1117%2f12.3014601&partnerID=40&md5=bbf3e29b476966a191aabf13610d986d","Many people are using their mobile or smartphone to store data and allow the user to access the internet and many online services. These situations are causing an intensification of cybercrimes, thus, to improve the security of the password required, the mobile phone came out with an alternative method, by using biometrics technology. This study firstly would be focusing on the implementation of typing patterns known as keystroke technique and secondly to conduct analysis to determine whether it is suitable to be implemented as an authentication technique by training and testing the dataset with several machine learning classifiers. From the seven classification techniques, three suitable classifiers have been identified and the results show that Random Forest with False Accepted Rate (FAR) of 0.2% and False Rejection Rate (FRR) of 5.31% had the best performance It can be concluded that keystroke technique has the potential to be a good method to authenticate a user with further research.  © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","Keystroke technique; RapidMiner; user authenticate","Classification (of information); Learning systems; Statistical tests; Authentication techniques; Biometrics technology; Classification algorithm; Comparative analyzes; Cyber-crimes; Keystroke technique; On-line service; Rapidminer; Smart phones; User authenticate; Authentication","Conference paper","Final","","Scopus","2-s2.0-85184140542"
"Roopesh; Albert B.; Manuel A.S.; Hemram S.","Roopesh (59155665300); Albert, Bertia (57782066600); Manuel, Alan Shine (58107296400); Hemram, Saimon (58093736000)","59155665300; 57782066600; 58107296400; 58093736000","Developing an ML Model for Detecting the Cyber Attacks in Electric Vehicles","2024","2024 International Conference on Cognitive Robotics and Intelligent Systems, ICC - ROBINS 2024","","","","776","781","5","0","10.1109/ICC-ROBINS60238.2024.10533886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195137870&doi=10.1109%2fICC-ROBINS60238.2024.10533886&partnerID=40&md5=80867d717468197e60c4aa9b7553c2d1","This study shows that electric cars (EVs) are a viable replacement for conventional combustion-engine vehicles, providing lower carbon emissions and more environmentally friendly modes of transportation. Depite the hype, the challenges like cybersecurity flaws and possible cyberattacks are also emerging in EVs. In addition to jeopardizing user privacy and vehicle safety, a number of issues seriously jeopardize the integrity and security of electric cars (EVs). This research offers a unique machine learning (ML)-based detection and prevention system designed to identify cyber threats in electric vehicles (EVs) in response to these problems. The suggested solution examines Controller Area Network (CAN) traffic data using cutting-edge ML algorithms to find unusual patterns suggestive of cyber threats. The solution improves the cybersecurity resilience of electric vehicles (EVs) by including proactive preventive measures and real-time threat detection capabilities. This ensures vehicle safety and guards against new and existing cyber-attacks. Through thorough evaluation and validation procedures, the efficacy of the suggested system is proven, underscoring its strong performance in identifying and averting cyberattacks in electric vehicles. This research helps to create safer and more secure mobility solutions for electric vehicles by implementing proactive cybersecurity measures and integrating cutting-edge ML technology.  © 2024 IEEE.","CAN Traffic; Cyber-attack; Electric Vehicles; XGBoost","Computer crime; Control system synthesis; Cutting tools; Cyber attacks; Electric vehicles; Network security; Vehicle safety; Controller area network traffic; Controller-area network; Cutting edges; Cyber security; Cyber threats; Cyber-attacks; Electric cars; Network traffic; Vehicle safety; Xgboost; Crime","Conference paper","Final","","Scopus","2-s2.0-85195137870"
"Reyns B.W.","Reyns, Bradford W. (35729132300)","35729132300","Crime Pattern Theory, Rational Choice Theory, and Routine Activities Theory","2024","Understanding Crime Prevention: From Theory to Practical Application","","","","29","54","25","0","10.4324/9781003401551-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214603847&doi=10.4324%2f9781003401551-3&partnerID=40&md5=beb6e7146494ddceb624cc81db464c3b","This chapter introduces crime pattern theory, rational choice theory, and routine activities theory, which occupy a prominent place in the environmental criminology literature and provide a meaningful theoretical foundation for crime prevention. In the review of crime pattern theory, the research of Patricia and Paul Brantingham is discussed, and important concepts are introduced, including nodes, paths, and edges; the journey to crime; and the environmental backcloth. The overview of rational choice theory emphasizes the works of Ronald Clarke and Derek Cornish in applying the concept of rational decision making to criminal offending decisions. Here, the assumptions about rational choice, involvement decisions, event decisions, repeat offending, and applications for crime prevention are reviewed. Routine activities theory is also discussed as a theory of crime prevention, highlighting the importance of macro-level routine activities as introduced by Lawrence Cohen and Marcus Felson, routine activities at the micro-level, and finally, applications of the theory for crime prevention. © 2025 Billy Henson, Bradford W. Reyns, Jamie A. Snyder, and Heidi Scherer. All rights reserved.","Awareness Spaces; Bounded Rationality; Capable Guardianship; Concentric Zone Model; Crime Pattern Theory; Crime Prevention through Environmental Design; Criminal Opportunities; Defensible Space; Distance Decay; Edges; Environmental Backcloth; Environmental Criminology; Guardians; Human Ecology; Journey to Crime; Lifestyle-Routine Activities Theory; Macro-Level; Micro-Level; Motivated Offender; Nodes; Paths; Rational Choice Theory; Routine Activities Theory; Script; Situational Crime Prevention; Social Disorganization; Social Disorganization Theory; Suitable Target","","Book chapter","Final","","Scopus","2-s2.0-85214603847"
"Chowdhury M.; Dewan U.","Chowdhury, Mahfuzulhoq (55604498000); Dewan, Uchhas (59092644900)","55604498000; 59092644900","Privilege: An Innovative Mobile Application Featuring Passengers Transport Riding Safety Checking, Driver Selection, and Emergency Assistance","2024","IEEE International Conference on Data Engineering and Communication Systems, ICDECS 2024","","","","","","","1","10.1109/ICDECS59733.2023.10503104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192531201&doi=10.1109%2fICDECS59733.2023.10503104&partnerID=40&md5=9c93f09ffa813bf4d32291f649b209aa","For passengers using transportation, the expansion of ride-sharing platforms, various types of vehicles, and various riding services has presented new security and safety challenges. Passengers may experience accidents, injuries, harassment, and robbery-related incidents as a result of improper driver and passenger monitoring systems, illegal vehicle registration, careless driving, driver alcohol consumption, and sleep deprivation. To check the safety status of passengers in Bangladesh by examining driver and passenger behavior, aggressive driving, and unusual activity during transport driving, no appropriate ICT-based system or mobile application was available in the existing research. To address the issue of passenger safety, this paper presents an innovative mobile application that allows users to check the status of their transportation safety by analyzing driving patterns, suspicious activity, and the behavior of both drivers and passengers. Additionally, user IDs are verified, and users can select and book a driver by evaluating their availability, experience, cost, rating, post-query functionality, app reviews, and security force contact information regarding questionable travel behavior. Up to 73% of reviewers left positive comments about the app's usefulness and benefits, according to the app's competence and superiority analysis.  © 2024 IEEE.","Driver selection; Passenger verification; Smartphone application; Transport riding safety; Unsafe activity","Automobile drivers; Mobile computing; Reviews; Driver monitoring; Driver selection; Mobile applications; Passenger transport; Passenger verification; Ride-sharing; Sharing platforms; Smart-phone applications; Transport riding safety; Unsafe activity; Accidents","Conference paper","Final","","Scopus","2-s2.0-85192531201"
"Richards N.E.; Langley A.; Stimpson L.J.V.","Richards, Niamh E. (59379628800); Langley, Andrew (59379876500); Stimpson, Laura J. Vera (56674600200)","59379628800; 59379876500; 56674600200","Development of conductive fingermarks for forensic applications","2024","Forensic Science, Medicine, and Pathology","","","","","","","0","10.1007/s12024-024-00898-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207222731&doi=10.1007%2fs12024-024-00898-1&partnerID=40&md5=d295c35edb766cc203d076e7d5f2619c","Fingermarks are an important form of evidence in forensic science, routinely used for identification or exclusion purposes within the criminal justice system. The increasing use of fingerprint recognition in technology and biosecurity, such as for unlocking devices and accessing banking information, highlights the need for forensic fingermark recovery methods that serve both traditional forensic needs and modern technological demands. Current fingerprint development techniques, however, are not designed to fulfil this dual-purpose. This paper presents a novel approach that introduces the use of conductive paint and silicone to develop, recover, and preserve latent, patent, and plastic fingermarks. The innovative method produces conductive casts that capture detailed ridge patterns, thereby facilitating forensic examination as well as being used for unlocking capacitive and ultrasonic fingerprint scanners in a range of mobile devices. © The Author(s) 2024.","Conductivity; Fingermarks; Forensic science","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207222731"
"Orellana M.; Arévalo P.; Bermeo A.; Lima J.-F.; Cedillo P.; Acosta-Uriguen M.-I.","Orellana, Marcos (57202331336); Arévalo, Pablo (57943404900); Bermeo, Alexandra (57202679148); Lima, Juan-Fernando (57212381912); Cedillo, Priscila (55761108900); Acosta-Uriguen, Maria-Ines (57212376136)","57202331336; 57943404900; 57202679148; 57212381912; 55761108900; 57212376136","Application of Data Mining Clustering for Patterns Analysis of Cyberbullying Surveys","2024","Lecture Notes in Networks and Systems","696 LNNS","","","331","340","9","0","10.1007/978-981-99-3236-8_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174737223&doi=10.1007%2f978-981-99-3236-8_26&partnerID=40&md5=784645d2d2efeb71497be8899d2fed33","In latest years, harassment or abuse through mobile devices and the Internet has been on the rise. This issue, better known as cyberbullying, is crueler and more dangerous than the traditional ways of bullying, largely due to the anonymity on social media or the Internet possibly generating consequences across the person’s lifetime. Therefore, different approaches have been developed in the search of alerting, informing, and preventing about cyberbullying situations such as the creation of regulations, issuing laws, or promoting technological approaches. This paper aims to find relevant patterns by applying clustering techniques, and to accomplish this goal, the survey titled the scale of victimization among adolescents through mobile phones and Internet (CYBVIC) has been used allowing to measure behaviors of harassment, aggression and social exclusion. The results obtained by the clustering can be used to combat this social problem due to this analysis highlights the seven most important questions and the hidden patterns among the filled responses. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Clustering algorithm; Cyberbullying; CYBVIC; Data mining; Harassment","Computer crime; Data mining; Laws and legislation; Clustering techniques; Clusterings; Cyber bullying; CYBVIC; Harassment; Pattern analysis; Relevant patterns; Social exclusion; Social media; Victimisation; Clustering algorithms","Conference paper","Final","","Scopus","2-s2.0-85174737223"
"Stibbe D.; Ruiter S.; Steenbeek W.; Moneva A.","Stibbe, Danielle (58961982800); Ruiter, Stijn (13906330600); Steenbeek, Wouter (45861652800); Moneva, Asier (57204652415)","58961982800; 13906330600; 45861652800; 57204652415","Sweeter than honey: Are Gmail accounts associated with greater rewards at a higher risk of hijacking?","2024","Computers in Human Behavior Reports","14","","100410","","","","0","10.1016/j.chbr.2024.100410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188989964&doi=10.1016%2fj.chbr.2024.100410&partnerID=40&md5=41be48a22bcd2cb2b17d9c5dd7289bab","Objectives: This study investigates the effect of advertised rewards in credential leaks on the likelihood and speed of account hijacking. Methods: In an online field experiment, we created 176 honey Gmail accounts and randomly assigned them to eight different posts containing account credential leaks. We used a 2 × 2 experimental design, manipulating two key variables within the post titles: the number of accounts (5 K or 1.5 M) and the promise of access to additional platforms (absent or present). We then monitored the accounts for any subsequent activity. Results: Our findings indicate that the promise of access to additional platforms increased the likelihood and speed of an attempted access. Only 12 accounts were fully accessed, however, because most hijackers did not complete the second-factor authentication (2FA) process required for gaining full access. It seems that the 2FA acted as a deterrent to complete Gmail account hijacking. Conclusions: The study aligns with the rational choice perspective of crime, showing that the prospect of greater rewards leads to more attempted account accesses. Pre-registration: https://osf.io/9y26z. © 2024 The Authors","Account hijacking; Cybercriminal decision-making; Hacker forums; Honey accounts; Personal data theft; Rational choice perspective; Target selection","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85188989964"
