Study_ID,PDF_File,Statistical_Method,Alternative_Sampling,Number_of_Variables,Sample_Size_Occasions,Scale_Justification_Provided,Software_Used,Convergence_Issues,Text_Length
1,01_a_discrete_spatial_choice_model_of_burglary_target.pdf,"Multinomial Logit, Mixed Logit, Nested Logit",Importance Sampling,,546.0,Yes,R,Mentioned,68476
2,02_residential_burglary_target_selection_property_level.pdf,Other,Random Sampling,,2911.0,No,R,Mentioned,50912
3,03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,"Multinomial Logit, Nested Logit",None,,2233.0,No,"R, SAS",Not Reported,68729
4,04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,Multinomial Logit,Not Clear,36.0,50.0,No,R,Not Reported,101945
5,05_go_where_the_money_is_modeling_street_robbers_lo.pdf,"Multinomial Logit, Mixed Logit, Latent Class, Nested Logit, Other",Importance Sampling,15.0,6000.0,No,"R, Stata",Mentioned,79047
6,06_do_street_robbery_location_choices_vary_over_time.pdf,Multinomial Logit,Not Clear,18.0,11999.0,Yes,R,Mentioned,71210
7,07_the usefulness of past crime data as an attractive.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,1134.0,No,R,Mentioned,50585
8,08_role_of_the_street_network_in_burglars_spatial_de.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,459.0,Yes,"R, Stata",Mentioned,104705
9,09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,Multinomial Logit,None,11.0,,No,R,Mentioned,38520
10,10_adolescent_offenders_current_whereabouts_predict.pdf,Not Clear,Likely Sampled (Large Choice Set),,165.0,No,"R, Stata",Mentioned,50295
11,11_spatial_analysis_with_preference_specification_of.pdf,"Multinomial Logit, Other",Importance Sampling,,,No,R,Not Reported,46628
12,12_modelling_the_spatial_decision_making_of_terrorist.pdf,"Multinomial Logit, Mixed Logit, Latent Class, Other",None,,890.0,Yes,"R, Stata, SAS",Mentioned,70914
13,13_testing_ecological_theories_of_offender_spatial_de.pdf,"Multinomial Logit, Mixed Logit",None,,,Yes,"R, Stata",Mentioned,71942
14,14_target_choice_during_extreme_events_a_discrete_sp.pdf,"Multinomial Logit, Mixed Logit",Not Clear,9.0,3914.0,No,"R, Stata",Mentioned,86635
15,15_situating_crime_pattern_theory_into_the_explanation.pdf,"Mixed Logit, Other",Not Clear,,653.0,Yes,R,Mentioned,70942
16,16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,"Multinomial Logit, Mixed Logit, Latent Class",Not Clear,,309.0,No,"R, Stata",Mentioned,74646
17,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,3337.0,No,R,Not Reported,64504
18,18_how_do_residential_burglars_select_target_areas.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,89.0,No,"R, Stata",Mentioned,67761
19,19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,"Multinomial Logit, Mixed Logit",Not Clear,3.0,89.0,No,R,Mentioned,55699
20,20_burglar_target_selection_a_cross_national_compari copy.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,No,R,Not Reported,63304
21,21_effect_attractiveness_opportunity_and_accessibility.pdf,Mixed Logit,Not Clear,,89.0,No,R,Mentioned,53623
22,22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,844.0,No,"R, Stata",Mentioned,110092
23,23_location_location_location_effects_of_neighbo.pdf,"Multinomial Logit, Mixed Logit, Nested Logit",Not Clear,,679.0,Yes,R,Not Reported,116763
24,24_relative_difference_and_burglary_location.pdf,"Multinomial Logit, Mixed Logit",Not Clear,,,Yes,"R, Stata",Not Reported,75685
