Study_ID,PDF_File,Citation,Title,Statistical_Method,Alternative_Sampling,Number_of_Variables,Sample_Size_Occasions,Scale_Justification_Provided,Software_Used,Convergence_Issues,Choice_Set_Strategy,Extraction_Notes,Pages_Checked,Extraction_Date,Extracted_By
1,01_a_discrete_spatial_choice_model_of_burglary_target.pdf,"(Vandeviver et al., 2015)",A discrete spatial choice model of burglary target selection...,,,,,,,,,,,,
2,02_residential_burglary_target_selection_property_level.pdf,"(Langton & Steenbeek, 2017)",Residential burglary target selection: An analysis at the pr...,,,,,,,,,,,,
3,03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,"(Kuralarasa et al, 2024)",Graffiti Writers Choose Locations That Optimize Exposure,,,,,,,,,,,,
4,04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,"(Bernasco & Jacques, 2015)",Where Do Dealers Solicit Customers and Sell Them Drugs,,,,,,,,,,,,
5,05_go_where_the_money_is_modeling_street_robbers_lo.pdf,"(Bernasco et al., 2013)",Go where the money is: Modeling street robbers' location cho...,,,,,,,,,,,,
6,06_do_street_robbery_location_choices_vary_over_time.pdf,"(Bernasco et al., 2017)",Do Street Robbery Location Choices Vary Over Time of Day or ...,,,,,,,,,,,,
7,07_the usefulness of past crime data as an attractive.pdf,"(Hanayama et al., 2018)",The usefulness of past crime data as an attractiveness index...,,,,,,,,,,,,
8,08_role_of_the_street_network_in_burglars_spatial_de.pdf,"(Frith et al., 2017)",Role of the Street Network in Burglars' Spatial Decision-Mak...,,,,,,,,,,,,
9,09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,"(Smith & Brown, 2007)",discrete choice analysis of spatial attack sites,,,,,,,,,,,,
10,10_adolescent_offenders_current_whereabouts_predict.pdf,"(Bernasco, 2019)",Adolescent offenders' current whereabouts predict locations ...,,,,,,,,,,,,
11,11_spatial_analysis_with_preference_specification_of.pdf,"(Xue & Brown, 2006)",spatial analysis with preference specification of latent dec...,,,,,,,,,,,,
12,12_modelling_the_spatial_decision_making_of_terrorist.pdf,"(Marchment & Gill, 2019)",Modelling the spatial decision making of terrorists: The dis...,,,,,,,,,,,,
13,13_testing_ecological_theories_of_offender_spatial_de.pdf,"(Johnson & Summers, 2015)",Testing Ecological Theories of Offender Spatial Decision Mak...,,,,,,,,,,,,
14,14_target_choice_during_extreme_events_a_discrete_sp.pdf,"(Baudains et al., 2013)",Target Choice During Extreme Events: A Discrete Spatial Choi...,,,,,,,,,,,,
15,15_situating_crime_pattern_theory_into_the_explanation.pdf,"(Rowan, Appleby & McGloin, 2022)",Situating Crime Pattern Theory Into The Explanation Of Co-Of...,,,,,,,,,,,,
16,16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,"(Frith, 2019)",Modelling taste heterogeneity regarding offence location cho...,,,,,,,,,,,,
17,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,"(Bernasco et al., 2015)",Learning where to offend: Effects of past on future burglary...,,,,,,,,,,,,
18,18_how_do_residential_burglars_select_target_areas.pdf,"(Bernasco & Nieuwbeerta, 2005)",How do residential burglars select target areas? : A new app...,,,,,,,,,,,,
19,19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,"(Bernasco, 2006)",Co-offending and the Choice of Target Areas in Burglary,,,,,,,,,,,,
20,20_burglar_target_selection_a_cross_national_compari copy.pdf,"(Townsley et al., 2015)",Burglar Target Selection: A Cross-national Comparison (NL),,,,,,,,,,,,
21,21_effect_attractiveness_opportunity_and_accessibility.pdf,"(Bernasco & Luykx, 2003)",Effect Attractiveness Opportunity And Accessibility To Burgl...,,,,,,,,,,,,
22,22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,"(Bernasco & Block, 2009)",Where offenders choose to attack: A discrete choice model of...,,,,,,,,,,,,
23,23_location_location_location_effects_of_neighbo.pdf,"(Vandeviver & Bernasco, 2020)",Location Location Location”: Effects of Neighborhood and Hou...,,,,,,,,,,,,
